"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spei
1979-01, -99.9
1979-02, -99.9
1979-03, -99.9
1979-04, -99.9
1979-05, -99.9
1979-06, -99.9
1979-07, -99.9
1979-08, -99.9
1979-09, -99.9
1979-10, -99.9
1979-11, -99.9
1979-12, -99.9
1980-01, -99.9
1980-02, -99.9
1980-03, -99.9
1980-04, -99.9
1980-05, -99.9
1980-06, -99.9
1980-07, -99.9
1980-08, -99.9
1980-09, -99.9
1980-10, -99.9
1980-11, -99.9
1980-12, 0.786790303683354
1981-01, 0.893231667849671
1981-02, 0.90980265832594
1981-03, 1.04970505328089
1981-04, 1.23028840380315
1981-05, 1.62861045701948
1981-06, 1.64843299258288
1981-07, 1.56172525189013
1981-08, 1.39275616409119
1981-09, 1.45025105315692
1981-10, 1.36367975987608
1981-11, 1.24279156907153
1981-12, 1.19080952822355
1982-01, 1.26324993882851
1982-02, 1.16311512136152
1982-03, 1.23205071872593
1982-04, 0.951727628734494
1982-05, 0.763763491483186
1982-06, 0.921550851694765
1982-07, 1.16218432077882
1982-08, 1.16528475819983
1982-09, 1.35124457676877
1982-10, 1.50472547982665
1982-11, 1.52816923538125
1982-12, 1.47513342793956
1983-01, 1.36655927816348
1983-02, 1.36878628183369
1983-03, 1.35809470150725
1983-04, 1.30522489934638
1983-05, 0.808451700446799
1983-06, 0.891170741953518
1983-07, 0.983151796385436
1983-08, 0.958058783951239
1983-09, 1.00073371635129
1983-10, 1.03587603772882
1983-11, 0.987623239484318
1983-12, 0.910563820588119
1984-01, 0.860204875411697
1984-02, 0.848340299720714
1984-03, 0.820635821214341
1984-04, 0.859780748205072
1984-05, 1.10041783935695
1984-06, 1.12880769249385
1984-07, 1.01702033770493
1984-08, 0.874651381208064
1984-09, 0.789093248072249
1984-10, 0.883124526947754
1984-11, 0.849408908747612
1984-12, 0.857626002794077
1985-01, 0.873021302340806
1985-02, 0.920966085063331
1985-03, 0.913858335398236
1985-04, 0.968536654925816
1985-05, 1.33901298470196
1985-06, 1.27600593894713
1985-07, 1.1695757744325
1985-08, 1.13665618324234
1985-09, 1.06651739574782
1985-10, 1.07574030024188
1985-11, 1.15850001706921
1985-12, 1.17924859564947
1986-01, 1.15393269771243
1986-02, 1.20238928127634
1986-03, 1.24469727186139
1986-04, 1.38109596478097
1986-05, 1.31091016346107
1986-06, 1.21815964634655
1986-07, 0.873185461914672
1986-08, 1.11809217641529
1986-09, 1.06634326584029
1986-10, 0.866691831206323
1986-11, 1.01069556501468
1986-12, 0.982517117551437
1987-01, 0.876844970561266
1987-02, 0.856250985114116
1987-03, 0.929152595642912
1987-04, 0.794505171135633
1987-05, 0.464922485232466
1987-06, 0.391594140947832
1987-07, 0.692186122444249
1987-08, 0.82276626765637
1987-09, 0.72987122646983
1987-10, 0.774274693978964
1987-11, 0.727889360440147
1987-12, 0.743586098364171
1988-01, 0.740586917175256
1988-02, 0.602954626124003
1988-03, 0.620093571234789
1988-04, 0.461522887719723
1988-05, 0.0960022883407355
1988-06, 0.151508360212285
1988-07, 0.214653087119163
1988-08, 0.252986411849823
1988-09, 0.18495051171078
1988-10, 0.2922025731456
1988-11, 0.00439572327490328
1988-12, 0.0423821599198933
1989-01, 0.0456342393906069
1989-02, 0.0445478642835158
1989-03, -0.101889148357682
1989-04, -0.153853352678529
1989-05, -0.339464602436284
1989-06, 0.17255324541135
1989-07, -0.0301142765327181
1989-08, 0.0185409627027835
1989-09, -0.073169719707975
1989-10, -0.207110090044527
1989-11, -0.247341506880375
1989-12, -0.0931511673741232
1990-01, -0.200776895709658
1990-02, -0.075779958836878
1990-03, -0.0232712509472054
1990-04, 0.137084591692617
1990-05, 0.454308995995671
1990-06, 0.254241165922669
1990-07, 0.232422246308583
1990-08, 0.0609609833081854
1990-09, 0.382686399676445
1990-10, 0.311905668378017
1990-11, 0.36930614481466
1990-12, 0.250640651516674
1991-01, 0.232967379545963
1991-02, 0.249855816162361
1991-03, 0.296263838428397
1991-04, 0.437265353443776
1991-05, 1.03151265047524
1991-06, 0.78816800840674
1991-07, 0.858243229947431
1991-08, 0.857896651117734
1991-09, 0.982382557299954
1991-10, 1.05328881001921
1991-11, 1.06611721001169
1991-12, 1.09100146267205
1992-01, 1.07249184178181
1992-02, 1.02913366760477
1992-03, 1.03759968082593
1992-04, 0.96028768170683
1992-05, 1.17694455552565
1992-06, 1.34090782347088
1992-07, 1.31115832515707
1992-08, 1.25748257873448
1992-09, 1.16209225073519
1992-10, 1.20715712943058
1992-11, 1.23571117047663
1992-12, 1.34239525332887
1993-01, 1.33679884393255
1993-02, 1.34217081957103
1993-03, 1.38923980823046
1993-04, 1.4713489341918
1993-05, 1.50271723327579
1993-06, 1.69202957882899
1993-07, 1.71781878492504
1993-08, 1.71818380266883
1993-09, 1.66825880625592
1993-10, 1.65139154063725
1993-11, 1.68616721222526
1993-12, 1.60441909203386
1994-01, 1.60619802269179
1994-02, 1.61097518110028
1994-03, 1.49764996099013
1994-04, 1.52331152079614
1994-05, 1.28433254178106
1994-06, 1.34100892771719
1994-07, 1.59571643329711
1994-08, 1.6056136287803
1994-09, 1.60649368719972
1994-10, 1.58921990489874
1994-11, 1.6138998511493
1994-12, 1.63777331587521
1995-01, 1.65105318347138
1995-02, 1.65846950660861
1995-03, 1.59443169331501
1995-04, 1.55313800469507
1995-05, 1.17872327817824
1995-06, 1.24506315259249
1995-07, 1.20723673902548
1995-08, 1.34285038509326
1995-09, 1.37092931619629
1995-10, 1.36328230356953
1995-11, 1.27085721431742
1995-12, 1.14085818847111
1996-01, 1.13659050489164
1996-02, 1.19465015525921
1996-03, 1.26627610228907
1996-04, 1.1917966258032
1996-05, 1.29457187962854
1996-06, 1.11153378731368
1996-07, 0.785926008094613
1996-08, 1.00906332771356
1996-09, 0.863836447996517
1996-10, 0.805244973742419
1996-11, 0.737852939758651
1996-12, 0.635860958413231
1997-01, 0.605067743601377
1997-02, 0.655033526947265
1997-03, 0.610498394383122
1997-04, 0.735699546920725
1997-05, 0.946012401968337
1997-06, 0.927243857370607
1997-07, 0.934690231653874
1997-08, 0.848610878785504
1997-09, 0.88975077294642
1997-10, 0.961693934170451
1997-11, 1.08250554021743
1997-12, 1.18183706139842
1998-01, 1.1125514718932
1998-02, 1.06543402149242
1998-03, 0.971824361778603
1998-04, 0.929879503887921
1998-05, 0.783681757445617
1998-06, 0.772668838589231
1998-07, 0.731888060936798
1998-08, 0.557574859844637
1998-09, 0.52952227014709
1998-10, 0.364274276243572
1998-11, 0.210376254414404
1998-12, 0.0685240432577431
1999-01, -0.0705035766413916
1999-02, -0.0925741026575705
1999-03, 0.00690103016260604
1999-04, -0.350841624851952
1999-05, -0.489091537057541
1999-06, -0.707809876185406
1999-07, -1.11258397600834
