"Description: ","Heatwave definitions and aspects"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 27.4666666666667, 28.3, 1, 3, 3
1980, 27.225, 29.3, 1, 4, 4
1981, 26.8, 27.6, 1, 4, 4
1982, 25.6833333333333, 27.2, 2, 3, 6
1983, 24.55, 25.9, 1, 2, 2
1984, 27.2, 28.3, 1, 3, 3
1985, 25.0861111111111, 29.3, 3, 4, 10
1986, 28.475, 30.5, 1, 4, 4
1987, 28.3, 29, 1, 3, 3
1988, 28.3333333333333, 29.2, 1, 3, 3
1989, 27.7666666666667, 28, 1, 3, 3
1990, 24.6666666666667, 28, 2, 3, 6
1991, 28.1666666666667, 28.4, 1, 3, 3
1992, 24.1333333333333, 25.2, 1, 3, 3
1993, -99.9, -99.9, 0, -99.9, 0
1994, 25.7, 26.4, 1, 3, 3
1995, 27.8333333333333, 30.6, 1, 6, 6
1996, 25.8420833333333, 28.6, 4, 5, 15
1997, 23.9, 24.4, 1, 3, 3
1998, 25.2166666666667, 29.8, 2, 3, 5
1999, -99.9, -99.9, 0, -99.9, 0
2000, -99.9, -99.9, 0, -99.9, 0
2001, 26.36, 30.2, 5, 4, 15
2002, 27.85, 30.6, 1, 4, 4
2003, 25.32, 28.5, 2, 5, 8
2004, 28.8333333333333, 29.3, 1, 3, 3
2005, -99.9, -99.9, 0, -99.9, 0
2006, 23.6, 25.9, 1, 3, 3
2007, 28.2555555555556, 31.9, 3, 4, 10
2008, 26.74, 29.5, 5, 3, 15
2009, -99.9, -99.9, 0, -99.9, 0
2010, 29.5333333333333, 29.8, 1, 3, 3
2011, 26.1438888888889, 30.6, 3, 8, 16
2012, 28.0966666666667, 31.9, 4, 5, 16
2013, 26.6333333333333, 27.1, 1, 3, 3
2014, 25.2375, 27.4, 2, 4, 7
2015, 26.0291666666667, 31, 2, 4, 7
2016, 26.9916666666667, 31.7, 3, 4, 10
2017, -99.9, -99.9, 0, -99.9, 0
2018, 29.65, 31.2, 1, 4, 4
2019, 25.3555555555556, 27.5, 3, 3, 9
2020, -99.9, -99.9, -99.9, -99.9, -99.9
