"Description: ","Heatwave definitions and aspects"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, CWM, CWA, CWN, CWD, CWF
1979, -2.62369907407407, -7.34244444444444, 2, 3, 6
1980, -5.0902, -20.2170555555556, 2, 10, 14
1981, -4.35483333333333, -8.36086111111111, 1, 3, 3
1982, -5.2433912037037, -14.14, 3, 8, 16
1983, -1.33598896825397, -4.14575, 5, 7, 26
1984, -2.34323853114478, -8.5975, 4, 11, 27
1985, -4.42044444444444, -8.91861111111111, 1, 3, 3
1986, -99.9, -99.9, 0, -99.9, 0
1987, -8.05912592592592, -29.545, 3, 5, 15
1988, -5.03858775252525, -25.641, 3, 11, 19
1989, -2.94750308641975, -11.5312222222222, 3, 6, 15
1990, -5.09055952380952, -10.3794444444444, 1, 7, 7
1991, -3.90901329365079, -9.19172222222222, 4, 7, 18
1992, -3.69138402777778, -11.4948888888889, 5, 8, 29
1993, -3.56709879629629, -16.6787777777778, 5, 5, 19
1994, -1.74359259259259, -2.95472222222222, 1, 3, 3
1995, -6.24413586182336, -25.8597777777778, 5, 13, 33
1996, -3.36992361111111, -12.2423888888889, 2, 6, 10
1997, -4.89578125, -9.3125, 2, 4, 8
1998, -1.04372222222222, -1.53019444444444, 1, 3, 3
1999, -1.39505555555556, -3.26216666666667, 1, 7, 7
2000, -2.97017222222222, -12.52275, 3, 6, 15
2001, -0.958430555555554, -2.115, 2, 6, 9
2002, -5.49380665784832, -10.368, 3, 7, 17
2003, -4.04873611111111, -8.20205555555555, 2, 3, 6
2004, -1.31988888888889, -3.03416666666667, 2, 3, 6
2005, -5.18753306878307, -19.34375, 3, 7, 13
2006, -0.68274074074074, -0.834666666666665, 1, 3, 3
2007, -4.07032480359147, -31.2172222222222, 6, 12, 44
2008, -3.73327777777778, -9.03366666666666, 2, 3, 6
2009, -4.66239293981481, -12.1538888888889, 2, 8, 14
2010, -3.29772228101117, -11.2004444444444, 3, 9, 21
2011, -2.90153595679012, -11.9478333333333, 6, 6, 25
2012, -3.94746682098765, -13.1413333333333, 3, 6, 16
2013, -6.92104212962963, -13.7208055555556, 3, 5, 13
2014, -2.03765740740741, -4.95588888888889, 3, 3, 9
2015, -2.95303703703704, -5.60033333333333, 1, 3, 3
2016, -99.9, -99.9, 0, -99.9, 0
2017, -6.53034104938271, -15.8128888888889, 3, 4, 10
2018, -4.31821840277778, -9.70855555555556, 2, 8, 13
2019, -1.45718518518518, -5.15666666666667, 2, 4, 7
2020, -99.9, -99.9, -99.9, -99.9, -99.9
