"Description: ","Standardised Precipitation Index"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spi
1979-01, -99.9
1979-02, -99.9
1979-03, -1.19648176723474
1979-04, -2.03370811009789
1979-05, -0.539805232549876
1979-06, -0.963634873008124
1979-07, -0.0901784203693243
1979-08, 0.743713998854189
1979-09, 1.73876523268726
1979-10, 2.0185342473141
1979-11, 0.919008158996988
1979-12, 1.0115078680474
1980-01, 0.807108507103718
1980-02, 1.67260744074251
1980-03, 1.09527446982576
1980-04, 2.18502263033839
1980-05, 1.62506786904441
1980-06, 1.64511373975178
1980-07, 1.09560919303247
1980-08, 0.633676285625305
1980-09, 0.327796628864254
1980-10, -0.946452961613106
1980-11, -2.03792273177587
1980-12, -1.05982832288847
1981-01, 0.838635617156937
1981-02, 1.06544143820105
1981-03, 1.38314172265726
1981-04, 0.936897963174263
1981-05, 2.03217778928108
1981-06, 1.54422736031136
1981-07, 1.04795328386577
1981-08, -0.309794491239938
1981-09, 0.543122763510296
1981-10, 0.62394372127469
1981-11, 0.159537906782916
1981-12, -0.830282777599663
1982-01, 0.0414652784466885
1982-02, 1.05343273004925
1982-03, 1.52216096237397
1982-04, 0.226656091288853
1982-05, 0.242580951009739
1982-06, 0.606916945868632
1982-07, 1.54290531661112
1982-08, 1.76977919909675
1982-09, 2.07876320984168
1982-10, 1.45774401234756
1982-11, 1.22081755366385
1982-12, 0.259014311432465
1983-01, 0.00444853597103875
1983-02, -0.610345646275407
1983-03, 0.389498742865671
1983-04, 0.359860535218983
1983-05, 0.0953235522059679
1983-06, -0.202455802487142
1983-07, -0.00200542608647963
1983-08, 0.171371421062655
1983-09, 0.996484733441405
1983-10, 0.893665782241783
1983-11, 0.627179762826174
1983-12, -0.818887683088741
1984-01, -0.789471563807117
1984-02, 0.165192048839186
1984-03, 0.751127717198721
1984-04, 0.118319875188257
1984-05, 0.995200991506824
1984-06, 1.39626751417144
1984-07, 1.79703357580934
1984-08, 1.07155810708081
1984-09, 0.788590334285404
1984-10, 0.586984918727012
1984-11, 1.24267544300065
1984-12, 0.890585125873321
1985-01, 0.202896625554123
1985-02, 0.207492246732804
1985-03, 0.826453163807618
1985-04, 0.863191517576367
1985-05, 1.46673918247204
1985-06, 1.02357800412424
1985-07, 0.559861669187682
1985-08, -0.787930102322769
1985-09, -0.0467922058579278
1985-10, 0.174060752299039
1985-11, 0.895667137330476
1985-12, 0.203349906389622
1986-01, 0.33405202156303
1986-02, 0.679585416487435
1986-03, 1.39313631343328
1986-04, 1.61289073958136
1986-05, 1.23815131860127
1986-06, 1.23165573378244
1986-07, 0.382288115962075
1986-08, 0.321665932082508
1986-09, -0.0252596857506063
1986-10, 0.720936047913249
1986-11, 0.844911236658914
1986-12, 0.809749602401733
1987-01, 1.00518767799668
1987-02, -0.750967892795525
1987-03, 0.866994791804
1987-04, 0.491182123092294
1987-05, 0.184081893564389
1987-06, -1.16066522261855
1987-07, 0.103365836850448
1987-08, 0.394791551908393
1987-09, 1.25918405100573
1987-10, 0.589680748231639
1987-11, 0.349153454319064
1987-12, 0.480446463606259
1988-01, 0.390154967649036
1988-02, 0.0778369770351954
1988-03, 0.711802749086298
1988-04, 0.119213082452748
1988-05, -0.533842625582522
1988-06, -0.389361324053728
1988-07, -0.491637005348649
1988-08, 0.657998277333318
1988-09, 0.140447801553283
1988-10, 0.947828107275397
1988-11, -0.50729402643674
1988-12, 0.226176985211453
1989-01, -0.325240037641088
1989-02, 0.118606468878474
1989-03, -0.596700695527053
1989-04, -1.20797251000058
1989-05, -1.7031738036624
1989-06, -0.41295536580078
1989-07, 0.269172888718368
1989-08, 1.23993124668344
1989-09, 0.533813071893104
1989-10, -0.236768755219979
1989-11, -1.16266261495317
1989-12, 0.558783884120114
1990-01, 0.871725630833195
1990-02, 1.76174412815795
1990-03, 1.4644819619172
1990-04, 1.83050997690309
1990-05, 1.05885997170483
1990-06, 0.156289316076364
1990-07, -0.453991881919819
1990-08, -0.710325245821852
1990-09, 0.734269368017247
1990-10, 1.44487331951307
1990-11, 1.24267544300065
1990-12, -0.177177139077208
1991-01, -0.405926377374248
1991-02, -0.495123107586329
1991-03, -0.0215166808467802
1991-04, 0.364056431132033
1991-05, 1.32721593234548
1991-06, 0.90554538069341
1991-07, 1.16331178278131
1991-08, 0.621999708313728
1991-09, 1.30315124595726
1991-10, 0.975044244733706
1991-11, 0.51505521328918
1991-12, 1.36207358557998
1992-01, 1.39524305045802
1992-02, 1.57016536244652
1992-03, 1.04494745867621
1992-04, 1.02874225715196
1992-05, 1.42859441522047
1992-06, 1.18148482149875
1992-07, 0.636564788221449
1992-08, -0.405817802566078
1992-09, -0.393552030763996
1992-10, 0.500734532899941
1992-11, 1.16108954577336
1992-12, 1.1599446926071
1993-01, 1.07219771071972
1993-02, 0.691623445691342
1993-03, 0.543502374396267
1993-04, 1.31631164949981
1993-05, 1.76659757421249
1993-06, 2.07465903483435
1993-07, 1.95810890858521
1993-08, 1.52892927907818
1993-09, 0.983278984206486
1993-10, 0.312239470393639
1993-11, 0.472797968880994
1993-12, 1.00954017199209
1994-01, 0.927516938542962
1994-02, 0.380389987634311
1994-03, -0.344571129447316
1994-04, 0.43307143917377
1994-05, 0.156644978641445
1994-06, 0.649657066840208
1994-07, 0.99436412498749
1994-08, 1.01209148086519
1994-09, 1.01135460666897
1994-10, 0.307286794632643
1994-11, 1.39533520282124
1994-12, 1.45259201758149
1995-01, 1.62110077993749
1995-02, 0.840764580425783
1995-03, -0.197010116060646
1995-04, 0.436367626979851
1995-05, -0.104580989626747
1995-06, 0.982132641472269
1995-07, 1.05225688629008
1995-08, 1.97140277321109
1995-09, 1.42669019196428
1995-10, 1.21651298251559
1995-11, 0.150128481901076
1995-12, -0.142594631800311
1996-01, -0.613793199632516
1996-02, -0.193454613714625
1996-03, 0.786671553861912
1996-04, 0.584372119400411
1996-05, 0.440010479045774
1996-06, -0.0109788773251217
1996-07, -0.310068874812818
1996-08, -0.0903961244522203
1996-09, -0.108802740708703
1996-10, 0.519179132789482
1996-11, 0.0296314452591561
1996-12, 0.506228122895681
1997-01, 0.729602859938663
1997-02, 0.470362424824082
1997-03, -0.149111947490882
1997-04, 1.30084209739947
1997-05, 0.890608331241961
1997-06, 1.67543773274634
1997-07, 1.4114814667815
1997-08, 1.66844226144197
1997-09, 1.28786356356609
1997-10, 1.27032204102182
1997-11, 1.45625335661704
1997-12, 1.49308456408125
1998-01, 0.720394932840951
1998-02, -0.487582827335516
1998-03, -1.72000521202445
1998-04, -0.838029493507352
1998-05, -0.941458358669504
1998-06, -1.11806330083069
1998-07, -1.28071791214807
1998-08, -1.14924996775036
1998-09, -1.40537614814121
1998-10, -2.06011268175933
1998-11, -2.41151074296873
1998-12, -2.34300708086544
1999-01, -2.00676434722932
