"Description: ","Heatwave definitions and aspects"
"Station: ","9423001"
"Latitude: ","-39.1"
"Longitude: ","-72.3833"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 6.78777685185186, 9.90205555555555, 1, 3, 3
1980, 5.80698888888889, 7.50933333333332, 1, 3, 3
1981, 5.81097222222222, 9.88041666666667, 1, 4, 4
1982, 4.4666765625, 12.8661666666667, 4, 4, 14
1983, 5.78375231481481, 19.5178333333333, 6, 4, 21
1984, -99.9, -99.9, 0, -99.9, 0
1985, 12.416527037037, 19.1156111111111, 1, 15, 15
1986, 3.09152833333334, 11.03345, 2, 5, 8
1987, -99.9, -99.9, 0, -99.9, 0
1988, -99.9, -99.9, 0, -99.9, 0
1989, -99.9, -99.9, 0, -99.9, 0
1990, 3.34682708333334, 5.89000000000002, 1, 4, 4
1991, 2.05549552469136, 6.06898333333333, 3, 4, 8
1992, 2.13664166666666, 5.21484444444444, 1, 3, 3
1993, -99.9, -99.9, 0, -99.9, 0
1994, 7.29297916666666, 18.2697777777777, 1, 4, 4
1995, 7.20782407407408, 22.6726666666667, 2, 7, 10
1996, 4.36031784722222, 17.9908361111111, 4, 5, 15
1997, 4.90418541666668, 7.30348611111112, 1, 4, 4
1998, 3.04303611111111, 9.58300000000001, 3, 4, 10
1999, 4.98042962962963, 8.79785555555556, 1, 3, 3
2000, -99.9, -99.9, 0, -99.9, 0
2001, 5.29162777777778, 12.0400277777778, 3, 6, 12
2002, 10.1738611111111, 18.522, 1, 5, 5
2003, 4.82710347222222, 12.0652777777778, 2, 4, 8
2004, 5.71678148148148, 10.0832416666666, 1, 3, 3
2005, 6.13708129629631, 14.1555083333333, 2, 5, 8
2006, 5.87767777777778, 9.79502222222222, 1, 3, 3
2007, 5.33992171296297, 15.7273333333333, 4, 5, 16
2008, 5.63057680555556, 22.7306, 5, 8, 21
2009, 5.52152777777779, 10.2177777777778, 1, 3, 3
2010, 3.26571689814815, 10.7284972222222, 2, 4, 7
2011, 6.62628272762346, 25.4431, 6, 8, 26
2012, 9.30783205128205, 22.4410444444444, 3, 13, 23
2013, 3.7294037037037, 9.88055555555557, 2, 9, 12
2014, 0.759166666666666, 1.135, 1, 4, 4
2015, 6.28846990740741, 12.5626388888889, 2, 3, 6
2016, 5.79973935185185, 11.9960166666667, 5, 6, 20
2017, 1.6989236111111, 4.19424999999998, 1, 4, 4
2018, 9.03419629629629, 21.8875, 2, 4, 7
2019, 4.37093824074074, 10.7075111111111, 4, 5, 14
2020, -99.9, -99.9, -99.9, -99.9, -99.9
