"Description: ","Heatwave definitions and aspects"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, CWM, CWA, CWN, CWD, CWF
1979, -1.49805555555556, -2.08, 1, 3, 3
1980, -9.34406018518519, -14.0419166666667, 1, 6, 6
1981, -99.9, -99.9, 0, -99.9, 0
1982, -5.14699953703704, -10.812, 3, 5, 12
1983, -1.05773101851852, -4.56991666666667, 5, 4, 16
1984, -2.15744003527337, -12.0468888888889, 3, 14, 20
1985, -99.9, -99.9, 0, -99.9, 0
1986, -2.57226388888889, -7.353, 2, 3, 6
1987, -6.66834722222222, -14.5524444444444, 2, 4, 7
1988, -4.05274057239057, -12.0718888888889, 3, 11, 20
1989, -5.08247222222222, -10.1283333333333, 1, 5, 5
1990, -4.33736111111111, -6.63841666666667, 1, 6, 6
1991, -3.03727152777778, -8.67280555555556, 4, 6, 18
1992, -3.6323216765873, -13.6561388888889, 4, 7, 20
1993, -2.56114178240741, -11.7775, 4, 4, 15
1994, -99.9, -99.9, 0, -99.9, 0
1995, -4.29381264029181, -18.981, 4, 11, 26
1996, -3.81621428571429, -8.96744444444445, 2, 7, 12
1997, -6.96359027777778, -9.96133333333333, 1, 4, 4
1998, -99.9, -99.9, 0, -99.9, 0
1999, -3.02879166666667, -5.08666666666666, 2, 8, 12
2000, -3.05235416666667, -9.54166666666667, 2, 4, 8
2001, -2.84552777777778, -7.01125, 2, 7, 11
2002, -3.576125, -7.89288888888889, 3, 7, 16
2003, -4.39921296296297, -6.14544444444445, 1, 3, 3
2004, -99.9, -99.9, 0, -99.9, 0
2005, -11.4330694444444, -22.7137222222222, 1, 6, 6
2006, -5.59150925925926, -7.73111111111111, 1, 3, 3
2007, -4.35708343554594, -25.8512222222222, 5, 11, 29
2008, -9.3961875, -14.663, 1, 4, 4
2009, -5.30408055555556, -12.6602777777778, 2, 10, 15
2010, -2.08857021604938, -4.63955555555555, 3, 4, 11
2011, -3.31317303240741, -8.34322222222222, 4, 8, 17
2012, -2.27905925925926, -4.305, 3, 7, 17
2013, -3.59563117283951, -9.51377777777778, 3, 6, 12
2014, -99.9, -99.9, 0, -99.9, 0
2015, -0.816777777777778, -1.71733333333333, 1, 3, 3
2016, -99.9, -99.9, 0, -99.9, 0
2017, -6.47846643518518, -14.1118055555556, 4, 6, 17
2018, -3.5287827020202, -10.138, 3, 11, 20
2019, -1.92738888888889, -5.92938888888889, 2, 3, 6
2020, -99.9, -99.9, -99.9, -99.9, -99.9
