IHA Annual Summary Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9423001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,January,February,March,April,May,June,July,August,September,October,November,December,1-day min,3-day min,7-day min,30-day min,90-day min,1-day max,3-day max,7-day max,30-day max,90-day max,Zero days,Base flow,Date min,Date max,Lo pulse #,Lo pulse L,Hi pulse #,Hi pulse L,Rise rate,Fall rate,Reversals,Jan lowf,Feb lowf,Mar  lowf,Apr  lowf,May lowf,June lowf,July lowf,Aug lowf,Sept lowf,Oct lowf,Nov lowf,Dec lowf,Xlow1 peak,Xlow1 dur,Xlow1 time,Xlow1 freq,High1 peak,High1 dur,High1 time,High1 freq,High1 rise,High1 fall,Sfld1 peak,Sfld1 dur,Sfld1 time,Sfld1 freq,Sfld1 rise,Sfld1 fall,Lfld1 peak,Lfld1 dur,Lfld1 time,Lfld1 freq,Lfld1 rise,Lfld1 fall
1929,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,378,377.3,371,320.8,301.6,0,0.992,1,355,0,,0,,36,-4,1,292,292,292,292,292,292,292,292,292,292,292,292,,,,0,,,,0,,,,,,0,,,,,,0,,
1930,224,144,119,159.5,162,855.5,758,588,376.5,307,330.5,325,103,103,103.6,108.6,135.8,1189,1181,1126,905.7,771.9,0,0.2772,100,173,2,39.5,1,96,9,-5,61,224,144,121,174,162,382,,,356,307,330.5,325,103,29,100,1,,,,0,,,1189,96,173,1,49.81,-9.531,,,,0,,
1931,277,161,129,123.5,138,189,472,388,373,454,281,234,114,115.7,118.7,122.9,131.8,585,571,551,476.8,421.2,0,0.4302,138,281,3,28,6,7.5,6,-4,55,277,161,129,125,140.5,183,413,359,347,376,281,234,115.5,3.5,116,2,473,7.5,236,6,26.33,-9.033,,,,0,,,,,,0,,
1932,149,130,152,132,384,429,806,873,405,551,365.5,263,114,114.7,116,127.6,137.5,1483,1360,1279,1107,818.8,0,0.2696,56,221,2,45,4,28,16,-6,44,149,132,152,129,349.5,274,,,377.5,395.5,360,263,114,7,56,1,772,20,165,3,48.88,-16.5,,,,0,,,1483,90,221,1,20.25,-28.11
1933,265,201.5,208,303.5,233,762.5,585,506,594,440,526,471,175,175.7,177.3,187.7,225.6,1003,985,934.3,792.2,649.9,0,0.4124,66,177,0,,3,3,12,-5.5,51,265,201.5,208,301,229,402,,,,,,,,,,0,441,2,120.5,2,85,-17.17,1003,211,177,1,36.19,-2.969,,,,0,,
1934,366,269,238,213,240,1026,780,677,507,488,457,362,192,193,194.7,214.8,230.5,1302,1197,1101,1050,833.7,0,0.41,118,166,0,,1,186,9,-4,48,345,269,238,213,236,,,,,,403,362,,,,0,,,,0,,,,,,0,,,1302,186,166,1,43.09,-5.352
