year,month,day,tmax
1979,8,21,14.236456
1979,8,22,14.22587
1979,8,23,13.783323
1979,8,24,14.391927
1979,8,25,13.93912
1979,8,26,13.08498
1979,8,27,11.608798
1979,8,28,12.095761
1979,8,29,14.177044
1979,8,30,13.870687
1979,8,31,11.085599
1979,9,1,11.196112
1979,9,2,11.165116
1979,9,3,12.160989
1979,9,4,17.864424
1979,9,5,21.055002
1979,9,6,22.165362
1979,9,7,19.25644
1979,9,8,19.538385
1979,9,9,16.960903
1979,9,10,14.951774
1979,9,11,14.339435
1979,9,12,14.597368
1979,9,13,13.696629
1979,9,14,11.54543
1979,9,15,11.868269
1979,9,16,12.734746
1979,9,17,17.210078
1979,9,18,15.839427
1979,9,19,13.84518
1979,9,20,13.484519
1979,9,21,14.174435
1979,9,22,14.54719
1979,9,23,14.268145
1979,9,24,13.67805
1979,9,25,13.127577
1979,9,26,12.797951
1979,9,27,12.359954
1979,9,28,11.818017
1979,9,29,13.540154
1979,9,30,14.808523
1979,10,1,14.989219
1979,10,2,17.398514
1979,10,3,14.701841
1979,10,4,13.977555
1979,10,5,14.377191
1979,10,6,15.407981
1979,10,7,15.64642
1979,10,8,18.036963
1979,10,9,18.064756
1979,10,10,18.984085
1979,10,11,19.710231
1979,10,12,17.712436
1979,10,13,20.447633
1979,10,14,21.584795
1979,10,15,23.569926
1979,10,16,21.636594
1979,10,17,20.918876
1979,10,18,22.416244
1979,10,19,20.132637
1979,10,20,17.310184
1979,10,21,16.073302
1979,10,22,14.848305
1979,10,23,15.146039
1979,10,24,15.853679
1979,10,25,17.492174
1979,10,26,16.707631
1979,10,27,14.524315
1979,10,28,14.370257
1979,10,29,14.691817
1979,10,30,14.981562
1979,10,31,15.526409
1979,11,1,15.099864
1979,11,2,15.792715
1979,11,3,17.82851
1979,11,4,19.709395
1979,11,5,20.045796
1979,11,6,17.383279
1979,11,7,16.324566
1979,11,8,23.003177
1979,11,9,24.601629
1979,11,10,22.039592
1979,11,11,18.671832
1979,11,12,16.041724
1979,11,13,15.829288
1979,11,14,20.343708
1979,11,15,22.162964
1979,11,16,16.82091
1979,11,17,17.970187
1979,11,18,17.609905
1979,11,19,19.611895
1979,11,20,19.448268
1979,11,21,17.816982
1979,11,22,18.806593
1979,11,23,20.260998
1979,11,24,25.929357
1979,11,25,25.885182
1979,11,26,25.839655
1979,11,27,23.676213
1979,11,28,23.802179
1979,11,29,21.319138
1979,11,30,19.913457
1979,12,1,26.040459
1979,12,2,25.081942
1979,12,3,22.424349
1979,12,4,21.336485
1979,12,5,20.242343
1979,12,6,20.338
1979,12,7,21.087853
1979,12,8,20.31005
1979,12,9,23.725342
1979,12,10,20.905877
1979,12,11,20.432692
1979,12,12,19.109484
1979,12,13,18.942883
1979,12,14,20.481379
1979,12,15,26.430636
1979,12,16,26.23931
1979,12,17,21.369605
1979,12,18,22.780131
1979,12,19,22.023926
1979,12,20,23.771146
1979,12,21,25.276355
1979,12,22,25.534244
1979,12,23,24.104226
1979,12,24,21.93687
1979,12,25,24.54553
1979,12,26,25.789976
1979,12,27,22.397016
1979,12,28,23.59533
1979,12,29,22.79873
1979,12,30,28.970559
1979,12,31,29.205863
1980,1,1,25.066962
1980,1,2,23.34434
1980,1,3,25.455689
1980,1,4,25.610713
1980,1,5,24.860303
1980,1,6,23.38921
1980,1,7,23.828367
1980,1,8,24.4964
1980,1,9,26.157672
1980,1,10,26.91167
1980,1,11,25.426659
1980,1,12,22.678523
1980,1,13,26.539595
1980,1,14,23.357107
1980,1,15,24.583214
1980,1,16,24.559814
1980,1,17,24.053896
1980,1,18,24.839983
1980,1,19,27.201946
1980,1,20,29.854619
1980,1,21,28.773067
1980,1,22,23.134092
1980,1,23,20.81164
1980,1,24,22.964472
1980,1,25,23.040552
1980,1,26,22.513945
1980,1,27,25.066354
1980,1,28,26.390689
1980,1,29,26.705114
1980,1,30,26.535415
1980,1,31,28.919555
1980,2,1,27.215802
1980,2,2,24.615477
1980,2,3,25.5916
1980,2,4,23.669708
1980,2,5,23.078703
1980,2,6,19.995985
1980,2,7,21.11542
1980,2,8,21.188249
1980,2,9,19.276202
1980,2,10,19.291993
1980,2,11,20.480403
1980,2,12,20.470796
1980,2,13,24.330782
1980,2,14,24.77652
1980,2,15,24.96848
1980,2,16,30.031899
1980,2,17,26.819064
1980,2,18,26.304121
1980,2,19,23.943078
1980,2,20,27.040755
1980,2,21,26.30871
1980,2,22,25.266081
1980,2,23,24.650493
1980,2,24,23.337433
1980,2,25,22.110516
1980,2,26,22.285487
1980,2,27,22.577828
1980,2,28,22.362803
1980,2,29,20.131281
1980,3,1,21.341977
1980,3,2,23.199049
1980,3,3,21.980633
1980,3,4,21.233653
1980,3,5,20.538398
1980,3,6,21.318404
1980,3,7,22.982778
1980,3,8,24.071228
1980,3,9,24.955714
1980,3,10,25.402699
1980,3,11,27.213117
1980,3,12,26.926231
1980,3,13,23.106661
1980,3,14,20.367572
1980,3,15,22.030309
1980,3,16,22.990414
1980,3,17,24.181747
1980,3,18,21.25979
1980,3,19,21.012043
1980,3,20,22.473358
1980,3,21,23.697151
1980,3,22,18.976252
1980,3,23,18.557163
1980,3,24,19.483674
1980,3,25,19.251644
1980,3,26,21.347893
1980,3,27,21.761132
1980,3,28,19.348939
1980,3,29,23.26507
1980,3,30,22.19965
1980,3,31,25.468389
1980,4,1,21.124596
1980,4,2,18.305966
1980,4,3,17.801172
1980,4,4,17.555437
1980,4,5,17.337422
1980,4,6,17.171922
1980,4,7,16.786857
1980,4,8,16.326732
1980,4,9,13.831137
1980,4,10,12.626459
1980,4,11,12.565554
1980,4,12,12.781792
1980,4,13,13.521695
1980,4,14,13.206132
1980,4,15,13.657125
1980,4,16,14.63783
1980,4,17,13.996984
1980,4,18,13.808091
1980,4,19,15.390162
1980,4,20,19.200452
1980,4,21,19.039329
1980,4,22,16.991634
1980,4,23,14.355642
1980,4,24,14.875423
1980,4,25,13.20633
1980,4,26,14.371459
1980,4,27,15.853067
1980,4,28,12.316672
1980,4,29,12.004528
1980,4,30,13.632169
1980,5,1,17.501968
1980,5,2,16.853831
1980,5,3,15.54003
1980,5,4,14.912645
1980,5,5,14.244409
1980,5,6,13.247831
1980,5,7,14.167829
1980,5,8,12.738566
1980,5,9,13.624711
1980,5,10,13.800344
1980,5,11,15.737412
1980,5,12,15.494323
1980,5,13,13.730959
1980,5,14,13.571628
1980,5,15,14.700068
1980,5,16,13.570379
1980,5,17,15.995709
1980,5,18,15.11781
1980,5,19,14.587685
