year,month,day,tmax
1979,1,1,18.253134
1979,1,2,22.214478
1979,1,3,23.037959
1979,1,4,25.193871
1979,1,5,24.357263
1979,1,6,25.241298
1979,1,7,23.719776
1979,1,8,22.530931
1979,1,9,21.24332
1979,1,10,19.92638
1979,1,11,20.640348
1979,1,12,12.564349
1979,1,13,15.220526
1979,1,14,20.151633
1979,1,15,22.39747
1979,1,16,20.632666
1979,1,17,21.669899
1979,1,18,27.771113
1979,1,19,27.323105
1979,1,20,24.517164
1979,1,21,24.334554
1979,1,22,21.850369
1979,1,23,19.979175
1979,1,24,18.671034
1979,1,25,20.700527
1979,1,26,16.14039
1979,1,27,19.361313
1979,1,28,22.853972
1979,1,29,24.657179
1979,1,30,23.665344
1979,1,31,22.544418
1979,2,1,23.591988
1979,2,2,23.861478
1979,2,3,20.100117
1979,2,4,15.774987
1979,2,5,20.575576
1979,2,6,18.558369
1979,2,7,22.858142
1979,2,8,23.538237
1979,2,9,18.498972
1979,2,10,20.025535
1979,2,11,20.220633
1979,2,12,19.877604
1979,2,13,17.368691
1979,2,14,15.852095
1979,2,15,22.294684
1979,2,16,19.559113
1979,2,17,17.299266
1979,2,18,19.751099
1979,2,19,21.664817
1979,2,20,25.729175
1979,2,21,28.496343
1979,2,22,19.994108
1979,2,23,19.400461
1979,2,24,17.901876
1979,2,25,19.479892
1979,2,26,22.636038
1979,2,27,14.688804
1979,2,28,23.173589
1979,3,1,25.665696
1979,3,2,16.762554
1979,3,3,15.798419
1979,3,4,11.905033
1979,3,5,14.065305
1979,3,6,9.9640571
1979,3,7,14.558085
1979,3,8,17.573512
1979,3,9,19.408986
1979,3,10,21.397066
1979,3,11,21.511196
1979,3,12,21.443749
1979,3,13,18.021454
1979,3,14,17.986481
1979,3,15,19.353
1979,3,16,20.273121
1979,3,17,21.271461
1979,3,18,20.497425
1979,3,19,22.018201
1979,3,20,17.39806
1979,3,21,19.367945
1979,3,22,15.449637
1979,3,23,19.493921
1979,3,24,20.058616
1979,3,25,18.640041
1979,3,26,14.464019
1979,3,27,16.541092
1979,3,28,16.730183
1979,3,29,18.048202
1979,3,30,19.684812
1979,3,31,16.433876
1979,4,1,14.479432
1979,4,2,12.360411
1979,4,3,9.609958
1979,4,4,12.106089
1979,4,5,16.373604
1979,4,6,18.657035
1979,4,7,20.430895
1979,4,8,17.566825
1979,4,9,13.475846
1979,4,10,15.212215
1979,4,11,16.297802
1979,4,12,16.352692
1979,4,13,19.68081
1979,4,14,18.257042
1979,4,15,19.280347
1979,4,16,14.577397
1979,4,17,17.417104
1979,4,18,15.280234
1979,4,19,16.639871
1979,4,20,19.20177
1979,4,21,18.812085
1979,4,22,20.760102
1979,4,23,20.260029
1979,4,24,20.339939
1979,4,25,19.332644
1979,4,26,18.072276
1979,4,27,13.316751
1979,4,28,9.7696125
1979,4,29,8.9750151
1979,4,30,11.991449
1979,5,1,10.879481
1979,5,2,7.6585991
1979,5,3,7.566271
1979,5,4,8.5516499
1979,5,5,10.577013
1979,5,6,12.794578
1979,5,7,12.381594
1979,5,8,13.021826
1979,5,9,13.540036
1979,5,10,11.547515
1979,5,11,11.191142
1979,5,12,12.384562
1979,5,13,9.8356045
1979,5,14,12.833969
1979,5,15,10.294557
1979,5,16,9.914279
1979,5,17,7.1475255
1979,5,18,6.7703226
1979,5,19,9.2899295
1979,5,20,12.707764
1979,5,21,9.1007864
1979,5,22,10.232429
1979,5,23,13.672066
1979,5,24,12.288628
1979,5,25,8.2761936
1979,5,26,10.146461
1979,5,27,7.7253758
1979,5,28,5.586845
1979,5,29,7.5383655
1979,5,30,11.818243
1979,5,31,13.466983
1979,6,1,10.535853
1979,6,2,6.322207
1979,6,3,4.3715646
1979,6,4,3.6868994
1979,6,5,4.7803599
1979,6,6,4.7261438
1979,6,7,6.9294198
1979,6,8,8.7273065
1979,6,9,10.056806
1979,6,10,8.9065274
1979,6,11,6.9341967
1979,6,12,4.0178553
1979,6,13,4.7454737
1979,6,14,6.8562423
1979,6,15,6.7601839
1979,6,16,9.2005372
1979,6,17,11.201723
1979,6,18,8.5400091
1979,6,19,6.0819776
1979,6,20,6.4551958
1979,6,21,7.0723346
1979,6,22,5.4716829
1979,6,23,4.7194055
1979,6,24,5.8999937
1979,6,25,7.4526424
1979,6,26,10.692928
1979,6,27,10.750685
1979,6,28,10.553005
1979,6,29,10.164781
1979,6,30,8.845106
1979,7,1,9.5660904
1979,7,2,8.7263669
1979,7,3,6.7836783
1979,7,4,8.6720667
1979,7,5,10.412622
1979,7,6,9.6554067
1979,7,7,10.328404
1979,7,8,9.0268208
1979,7,9,13.807786
1979,7,10,14.658349
1979,7,11,13.668861
1979,7,12,8.534187
1979,7,13,6.2998938
1979,7,14,4.3142574
1979,7,15,10.069568
1979,7,16,9.8991694
1979,7,17,5.711637
1979,7,18,4.2412574
1979,7,19,9.6033335
1979,7,20,9.2961654
1979,7,21,6.4202604
1979,7,22,7.0950468
1979,7,23,6.2123399
1979,7,24,7.2535375
1979,7,25,10.819155
1979,7,26,7.9865877
1979,7,27,10.099238
1979,7,28,7.8375213
1979,7,29,8.9666664
1979,7,30,8.1707553
1979,7,31,7.1797579
1979,8,1,4.0679947
1979,8,2,5.9018926
1979,8,3,5.6000155
1979,8,4,5.9994995
1979,8,5,5.1226624
1979,8,6,5.9802196
1979,8,7,8.463065
1979,8,8,8.101481
1979,8,9,8.9614978
1979,8,10,11.007059
1979,8,11,10.611002
1979,8,12,11.776826
1979,8,13,11.283253
1979,8,14,11.006443
1979,8,15,10.141617
1979,8,16,11.225615
1979,8,17,10.974661
1979,8,18,13.42411
1979,8,19,12.385306
1979,8,20,11.04261
1979,8,21,9.0098853
1979,8,22,10.745161
1979,8,23,8.8196934
1979,8,24,9.6238687
