year,month,day,tmax
1979,1,1,19.523656
1979,1,2,23.597413
1979,1,3,23.533587
1979,1,4,25.364095
1979,1,5,24.805537
1979,1,6,25.674258
1979,1,7,24.191946
1979,1,8,23.653395
1979,1,9,21.570945
1979,1,10,21.025893
1979,1,11,22.722734
1979,1,12,16.668952
1979,1,13,17.281379
1979,1,14,21.087235
1979,1,15,22.636275
1979,1,16,22.081421
1979,1,17,22.345634
1979,1,18,28.128474
1979,1,19,26.860552
1979,1,20,24.919088
1979,1,21,24.597796
1979,1,22,22.386054
1979,1,23,20.576659
1979,1,24,19.545795
1979,1,25,22.323354
1979,1,26,18.648818
1979,1,27,20.313578
1979,1,28,22.440259
1979,1,29,23.598955
1979,1,30,23.875475
1979,1,31,24.317
1979,2,1,25.102321
1979,2,2,24.705765
1979,2,3,22.416379
1979,2,4,19.247703
1979,2,5,20.71037
1979,2,6,19.377919
1979,2,7,27.298713
1979,2,8,25.341241
1979,2,9,20.6611
1979,2,10,22.167515
1979,2,11,21.606788
1979,2,12,21.233558
1979,2,13,19.694958
1979,2,14,19.05915
1979,2,15,22.832432
1979,2,16,19.853002
1979,2,17,19.182114
1979,2,18,20.958008
1979,2,19,22.815711
1979,2,20,26.108626
1979,2,21,27.373486
1979,2,22,21.514686
1979,2,23,20.044326
1979,2,24,19.148847
1979,2,25,20.057806
1979,2,26,22.563909
1979,2,27,17.300434
1979,2,28,25.406192
1979,3,1,28.231369
1979,3,2,19.594982
1979,3,3,18.600536
1979,3,4,16.077597
1979,3,5,16.963152
1979,3,6,13.390945
1979,3,7,15.448872
1979,3,8,18.640775
1979,3,9,19.713005
1979,3,10,24.340988
1979,3,11,24.483179
1979,3,12,23.268988
1979,3,13,19.662374
1979,3,14,19.163796
1979,3,15,19.631714
1979,3,16,20.382539
1979,3,17,21.86757
1979,3,18,20.964463
1979,3,19,22.856907
1979,3,20,23.038095
1979,3,21,21.091437
1979,3,22,18.444321
1979,3,23,21.75685
1979,3,24,20.531279
1979,3,25,19.249055
1979,3,26,20.048799
1979,3,27,18.891879
1979,3,28,18.432486
1979,3,29,19.775824
1979,3,30,20.34064
1979,3,31,18.867291
1979,4,1,15.756841
1979,4,2,14.85588
1979,4,3,15.776072
1979,4,4,17.392535
1979,4,5,18.86994
1979,4,6,23.421588
1979,4,7,23.053499
1979,4,8,18.835625
1979,4,9,15.608176
1979,4,10,16.4137
1979,4,11,19.507639
1979,4,12,21.282441
1979,4,13,23.050877
1979,4,14,19.560039
1979,4,15,20.195364
1979,4,16,16.295214
1979,4,17,18.420618
1979,4,18,15.518546
1979,4,19,17.681048
1979,4,20,20.044916
1979,4,21,18.679736
1979,4,22,23.090613
1979,4,23,21.446196
1979,4,24,19.756248
1979,4,25,18.735032
1979,4,26,17.87183
1979,4,27,15.922916
1979,4,28,13.078278
1979,4,29,12.0657
1979,4,30,12.999244
1979,5,1,13.229893
1979,5,2,10.591846
1979,5,3,10.272308
1979,5,4,10.738771
1979,5,5,10.987881
1979,5,6,12.781994
1979,5,7,15.171
1979,5,8,15.203548
1979,5,9,14.832825
1979,5,10,14.502521
1979,5,11,13.541835
1979,5,12,14.279416
1979,5,13,12.516716
1979,5,14,14.579016
1979,5,15,13.224427
1979,5,16,12.310087
1979,5,17,10.302176
1979,5,18,9.735116
1979,5,19,11.634814
1979,5,20,13.829042
1979,5,21,11.702085
1979,5,22,12.284334
1979,5,23,14.957823
1979,5,24,13.505945
1979,5,25,10.015836
1979,5,26,11.708376
1979,5,27,10.525362
1979,5,28,8.7083869
1979,5,29,11.268548
1979,5,30,13.331967
1979,5,31,14.317046
1979,6,1,11.880109
1979,6,2,9.0805386
1979,6,3,6.9019327
1979,6,4,6.5361911
1979,6,5,7.2923839
1979,6,6,7.4534359
1979,6,7,9.4175924
1979,6,8,10.389102
1979,6,9,10.956001
1979,6,10,10.92661
1979,6,11,8.9409583
1979,6,12,7.6828924
1979,6,13,9.8911491
1979,6,14,11.670817
1979,6,15,9.2704049
1979,6,16,11.024574
1979,6,17,12.066697
1979,6,18,10.600563
1979,6,19,8.671643
1979,6,20,8.8817157
1979,6,21,8.6492495
1979,6,22,7.8096178
1979,6,23,7.2112527
1979,6,24,8.0000622
1979,6,25,9.0840315
1979,6,26,11.866337
1979,6,27,13.245788
1979,6,28,13.433192
1979,6,29,13.449498
1979,6,30,11.420695
1979,7,1,11.650948
1979,7,2,9.5487716
1979,7,3,8.7784879
1979,7,4,11.160223
1979,7,5,11.829632
1979,7,6,11.822507
1979,7,7,11.990624
1979,7,8,13.489797
1979,7,9,15.952443
1979,7,10,15.272306
1979,7,11,14.045664
1979,7,12,10.870802
1979,7,13,8.8120069
1979,7,14,7.7508048
1979,7,15,11.787481
1979,7,16,11.694719
1979,7,17,8.9963282
1979,7,18,7.1258348
1979,7,19,10.577585
1979,7,20,10.53081
1979,7,21,9.0140963
1979,7,22,10.173739
1979,7,23,9.3019787
1979,7,24,10.397029
1979,7,25,13.064759
1979,7,26,11.1453
1979,7,27,12.770837
1979,7,28,10.729981
1979,7,29,11.477657
1979,7,30,11.248899
1979,7,31,10.511119
1979,8,1,6.9313113
1979,8,2,9.0617398
1979,8,3,8.292386
1979,8,4,8.7182364
1979,8,5,7.6485262
1979,8,6,8.6775403
1979,8,7,10.370762
1979,8,8,10.062915
1979,8,9,11.221951
1979,8,10,13.675685
1979,8,11,14.83907
1979,8,12,12.581782
1979,8,13,15.659571
1979,8,14,13.448723
1979,8,15,12.525382
1979,8,16,13.072473
1979,8,17,13.119023
1979,8,18,14.68533
1979,8,19,13.411794
1979,8,20,12.24783
1979,8,21,11.242567
1979,8,22,12.203041
1979,8,23,10.896527
1979,8,24,11.68013
1979,8,25,10.215812
1979,8,26,9.3176568
1979,8,27,7.3466414
1979,8,28,8.3507574
1979,8,29,10.357439
