tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
15.4, 16.1166666666667, 21.3, 25.8833333333333, 27.05, 2.975, 3.9, 6.7, 9.28333333333333, 10.2, 9.7, 10.7583333333333, 14.125, 17.1, 18.2, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.3, 25.7, 16.9666666666667
15.36, 16.1, 21.3, 26.1733333333333, 27.2, 3, 4, 6.6, 9.47333333333333, 10.22, 9.44, 10.6033333333333, 14.3, 17.61, 18.46, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.3, 25.5, 16.8116666666667
15.085, 15.8366666666667, 21.1, 26.3266666666667, 27.23, 3.17, 4.03666666666667, 6.8, 9.82666666666666, 10.3, 9.7, 10.4, 14.125, 17.6816666666667, 18.7725, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.21333333333333, 25.7, 16.9066666666667
15.285, 16.0466666666667, 20.9, 26.4, 27.415, 2.885, 3.9, 6.75, 9.46333333333333, 10.215, 9.6975, 10.4183333333333, 13.875, 17.4316666666667, 18.5375, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.2, 25.7033333333333, 17.0016666666667
15.185, 15.9, 20.7, 25.6266666666667, 27.23, 2.985, 3.9, 6.55, 9.36333333333333, 10.2, 9.7925, 10.45, 13.775, 16.9766666666667, 18.2075, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.3, 25.9, 17.0966666666667
14.97, 15.6366666666667, 20.65, 25.5, 27.115, 3.07, 3.83666666666667, 6.6, 9.26333333333333, 10.1, 9.3925, 10.2683333333333, 13.675, 16.5816666666667, 18.0075, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.4, 26.0833333333333, 17.1
14.785, 15.7, 20.6, 25.4633333333333, 27.03, 2.885, 3.8, 6.35, 9.16333333333333, 9.92999999999999, 9.435, 10.305, 13.6, 16.5816666666667, 17.5175, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.6, 26.2, 17.3866666666667
14.785, 15.9, 20.5, 25.5, 26.63, 2.685, 3.73666666666667, 6.45, 9.16333333333333, 10.015, 9.285, 10.2683333333333, 13.5, 16.7583333333333, 17.8075, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.7, 26.4, 17.6816666666667
14.785, 15.9733333333333, 20.65, 25.5, 27.26, 2.9, 3.8, 6.4, 9.3, 10.215, 9.435, 10.4, 13.65, 17.0316666666667, 17.8575, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.9, 26.4, 17.7
14.585, 15.91, 20.5, 26.2, 27.915, 2.785, 3.8, 6.5, 9.56333333333333, 10.3, 9.335, 10.3, 13.675, 17.4633333333333, 18.7075, 1.1, 1.3, 3.9, 29.1, 43.7, 80.4733333333334, 9.9, 26.4633333333333, 17.75
