IHA Annual Summary Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,January,February,March,April,May,June,July,August,September,October,November,December,1-day min,3-day min,7-day min,30-day min,90-day min,1-day max,3-day max,7-day max,30-day max,90-day max,Zero days,Base flow,Date min,Date max,Lo pulse #,Lo pulse L,Hi pulse #,Hi pulse L,Rise rate,Fall rate,Reversals,Jan lowf,Feb lowf,Mar  lowf,Apr  lowf,May lowf,June lowf,July lowf,Aug lowf,Sept lowf,Oct lowf,Nov lowf,Dec lowf,Xlow1 peak,Xlow1 dur,Xlow1 time,Xlow1 freq,High1 peak,High1 dur,High1 time,High1 freq,High1 rise,High1 fall,Sfld1 peak,Sfld1 dur,Sfld1 time,Sfld1 freq,Sfld1 rise,Sfld1 fall,Lfld1 peak,Lfld1 dur,Lfld1 time,Lfld1 freq,Lfld1 rise,Lfld1 fall
1947,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,5.94,2.835,2.5,1.6,1.61,1.63,2.265,3.642,8.15,7.3,6.83,6.83,6.83,0,0.2697,363,289,0,,0,,0.09,-0.12,25,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,5.94,2.835,2.5,,,,0,,,,0,,,,,,0,,,,,,0,,
1948,1.7,0.582,0.802,1.115,2.92,12.5,29,13.8,15.85,7.88,2.525,1.61,0.515,0.5233,0.5291,0.6253,0.9293,50.7,46.47,39.27,30.06,21.05,0,0.06465,55,207,5,8,5,9,0.51,-0.32,114,1.7,0.802,0.857,1.13,2.88,8.65,,,9.1,6.94,2.525,1.61,0.712,2.5,81.5,6,16.75,6,157,4,2.932,-1.536,50.7,83,207,1,1.168,-0.8667,,,,0,,
1949,0.819,0.8575,2.29,2.56,20.1,39.2,12.1,7.48,3.18,1.87,1.22,0.702,0.546,0.5737,0.602,0.7085,1.35,56.6,53.9,50.4,42.93,27.63,0,0.06794,352,168,6,14,7,4,0.325,-0.17,101,0.964,1.03,2.035,2.56,7.87,,8.48,7.325,3.18,1.87,1.22,1.325,0.652,3.5,6.5,6,12.5,3,209,6,3.113,-2.075,56.6,63,168,1,1.629,-1.409,,,,0,,
1950,0.36,0.25,0.509,2.115,18.2,38.25,15.7,15.9,24.5,7.25,4.555,2.74,0.205,0.2097,0.22,0.2506,0.3775,63.5,60.53,55,38.94,24.12,0,0.01985,48,160,1,4,6,3,0.88,-0.3,70,0.822,,0.873,3.16,3.09,,,9.11,,6.81,4.395,2.74,0.3275,46,71.5,2,13.8,3,280,5,2.33,-2.355,63.5,87,160,1,1.863,-0.9463,,,,0,,
1951,2.22,1.805,1.14,1.07,36.5,31.3,32.5,12.5,10.7,7.46,5.55,2.8,0.7,0.709,0.7759,0.9921,1.51,67.3,62.9,57.91,44.09,35.87,0,0.06023,110,161,3,14,4,10,0.9,-0.39,66,2.22,1.805,1.14,1.07,5.37,,,,8,6.705,5.21,2.8,0.7,4,110,1,15.3,6,271,3,2.5,-0.82,,,,0,,,67.3,126,161,1,1.588,-0.6586
1952,1.42,1.01,3.32,1.495,7.79,8.185,12.9,15,9.28,6.82,3,1.07,0.658,0.694,0.7299,1.078,2.161,24,21.8,17.66,14.96,13.33,0,0.1163,366,191,6,9.5,9,6,1,-0.2,62,1.42,1.01,3.32,1.495,3.76,7.54,8.385,9.51,7.96,6.21,3,1.15,,,,0,15.7,6,191,9,2.317,-1.113,,,,0,,,,,,0,,
