year,month,day,tmin
1979,1,1,5.2290931
1979,1,2,5.0440623
1979,1,3,7.1858993
1979,1,4,7.7394655
1979,1,5,8.1358582
1979,1,6,9.3364661
1979,1,7,9.5615282
1979,1,8,7.9856553
1979,1,9,6.4447731
1979,1,10,6.8667664
1979,1,11,7.5350083
1979,1,12,4.4433544
1979,1,13,3.2408971
1979,1,14,5.392871
1979,1,15,7.3112164
1979,1,16,8.6881945
1979,1,17,7.8894845
1979,1,18,10.777906
1979,1,19,11.441967
1979,1,20,10.044574
1979,1,21,9.4645692
1979,1,22,8.2369674
1979,1,23,6.5669304
1979,1,24,6.2352654
1979,1,25,6.3372711
1979,1,26,7.7445338
1979,1,27,5.1890479
1979,1,28,7.2190613
1979,1,29,7.5570823
1979,1,30,9.5416338
1979,1,31,9.23239
1979,2,1,9.4699685
1979,2,2,9.6328687
1979,2,3,8.5724657
1979,2,4,8.8995402
1979,2,5,6.9022798
1979,2,6,6.5638087
1979,2,7,7.4880505
1979,2,8,10.329444
1979,2,9,11.065172
1979,2,10,9.7357947
1979,2,11,7.3768651
1979,2,12,6.0179904
1979,2,13,6.3353033
1979,2,14,8.7977432
1979,2,15,8.0296216
1979,2,16,6.5419201
1979,2,17,7.9515225
1979,2,18,5.1730325
1979,2,19,6.393667
1979,2,20,8.8878882
1979,2,21,10.518547
1979,2,22,8.8118669
1979,2,23,7.1801106
1979,2,24,6.2071583
1979,2,25,7.4246747
1979,2,26,7.1593467
1979,2,27,6.4834558
1979,2,28,4.4290429
1979,3,1,9.3638196
1979,3,2,6.9069451
1979,3,3,8.210392
1979,3,4,6.4798038
1979,3,5,6.2061589
1979,3,6,3.058426
1979,3,7,1.7919817
1979,3,8,4.329411
1979,3,9,5.4083433
1979,3,10,8.197029
1979,3,11,9.5442007
1979,3,12,9.6393639
1979,3,13,9.6756258
1979,3,14,7.3053624
1979,3,15,7.1636767
1979,3,16,7.0501781
1979,3,17,6.678827
1979,3,18,7.4706766
1979,3,19,7.3443379
1979,3,20,10.608667
1979,3,21,7.990891
1979,3,22,9.0270128
1979,3,23,6.545096
1979,3,24,9.4111471
1979,3,25,8.0416539
1979,3,26,8.4096494
1979,3,27,5.7952543
1979,3,28,5.7236359
1979,3,29,8.2608129
1979,3,30,7.3476628
1979,3,31,7.499835
1979,4,1,2.5890764
1979,4,2,3.0606231
1979,4,3,3.9634878
1979,4,4,2.9850144
1979,4,5,2.532189
1979,4,6,6.6538677
1979,4,7,5.8781503
1979,4,8,5.2362027
1979,4,9,5.9023373
1979,4,10,2.9595005
