year,month,day,tmin
1979,1,1,3.7442655
1979,1,2,3.3043824
1979,1,3,5.7806441
1979,1,4,6.2035354
1979,1,5,6.7213544
1979,1,6,7.4504145
1979,1,7,7.956888
1979,1,8,6.637499
1979,1,9,5.0190402
1979,1,10,5.0631826
1979,1,11,5.9928171
1979,1,12,3.5821156
1979,1,13,1.5590382
1979,1,14,3.8105267
1979,1,15,5.909993
1979,1,16,7.1117489
1979,1,17,6.3846457
1979,1,18,10.12138
1979,1,19,10.454202
1979,1,20,8.6946308
1979,1,21,7.79998
1979,1,22,6.9652895
1979,1,23,4.8080791
1979,1,24,4.5604668
1979,1,25,4.6019312
1979,1,26,5.6012562
1979,1,27,2.8884709
1979,1,28,5.3898316
1979,1,29,6.0349262
1979,1,30,7.7577973
1979,1,31,7.9784856
1979,2,1,7.6351061
1979,2,2,7.8897123
1979,2,3,7.1435696
1979,2,4,7.8449806
1979,2,5,4.982636
1979,2,6,4.5967397
1979,2,7,6.1826826
1979,2,8,7.8534988
1979,2,9,9.8427777
1979,2,10,7.2718402
1979,2,11,5.0594923
1979,2,12,4.3494164
1979,2,13,4.692437
1979,2,14,7.4614287
1979,2,15,6.4181355
1979,2,16,4.9441933
1979,2,17,5.8695459
1979,2,18,2.905681
1979,2,19,3.8292337
1979,2,20,7.1513477
1979,2,21,8.8945384
1979,2,22,6.758898
1979,2,23,5.6972124
1979,2,24,4.0410799
1979,2,25,4.8194444
1979,2,26,4.5130014
1979,2,27,4.6004079
1979,2,28,2.3593282
1979,3,1,6.7010958
1979,3,2,5.3853586
1979,3,3,6.4849848
1979,3,4,5.81593
1979,3,5,4.6970703
1979,3,6,1.4503336
1979,3,7,-0.54554927
1979,3,8,2.3096995
1979,3,9,3.2668524
1979,3,10,5.9685671
1979,3,11,7.6536985
1979,3,12,7.2308666
1979,3,13,8.0246306
1979,3,14,5.1014028
1979,3,15,4.6167367
1979,3,16,4.907696
1979,3,17,4.4531757
1979,3,18,5.0170308
1979,3,19,5.0003445
1979,3,20,7.7207461
1979,3,21,5.2995546
1979,3,22,7.3573513
1979,3,23,4.1167365
1979,3,24,6.7566326
1979,3,25,5.5938256
1979,3,26,5.2521284
1979,3,27,3.1718296
1979,3,28,3.0104285
1979,3,29,6.3504666
1979,3,30,4.9308894
1979,3,31,5.5530391
1979,4,1,0.13186431
1979,4,2,0.12916817
1979,4,3,0.71630082
1979,4,4,-0.30762231
1979,4,5,-0.53933357
1979,4,6,3.0417375
1979,4,7,2.8232753
1979,4,8,2.6419859
1979,4,9,3.3343653
1979,4,10,-0.0043381656
1979,4,11,0.88740314
1979,4,12,4.9244622
1979,4,13,3.5207307
1979,4,14,3.2866887
1979,4,15,3.3767386
1979,4,16,3.9535085
1979,4,17,3.8061346
1979,4,18,2.3836511
1979,4,19,2.1379301
1979,4,20,2.1171661
1979,4,21,2.4722222
1979,4,22,3.9233397
1979,4,23,6.7481079
1979,4,24,5.0946307
1979,4,25,5.0031673
1979,4,26,4.4469482
1979,4,27,5.5694712
1979,4,28,5.524563
1979,4,29,3.8385904
1979,4,30,0.6144606
1979,5,1,3.1776644
1979,5,2,1.9907491
1979,5,3,-0.67257407
1979,5,4,-1.0277873
1979,5,5,-0.43207988
1979,5,6,-0.12486203
1979,5,7,-0.21992086
1979,5,8,0.25200389
1979,5,9,2.5766312
1979,5,10,5.3386792
1979,5,11,4.2521283
1979,5,12,2.4806477
1979,5,13,4.5711248
1979,5,14,3.0899632
1979,5,15,5.6591965
1979,5,16,4.9163118
1979,5,17,2.7751671
1979,5,18,2.5517287
1979,5,19,4.4489891
1979,5,20,4.4976108
1979,5,21,4.5267223
1979,5,22,3.7026524
1979,5,23,5.2248779
1979,5,24,4.7181134
1979,5,25,2.2503913
1979,5,26,1.8154716
1979,5,27,2.4611561
1979,5,28,0.78760191
1979,5,29,-1.9755681
1979,5,30,-2.9884466
1979,5,31,-0.032434475
1979,6,1,2.0615447
1979,6,2,1.3922305
1979,6,3,-0.55812246
1979,6,4,-3.3113823
1979,6,5,-5.7732327
1979,6,6,-5.4581179
1979,6,7,0.51206873
1979,6,8,-1.4839417
1979,6,9,-3.8745316
1979,6,10,-1.8038439
1979,6,11,0.25858817
1979,6,12,-5.0471094
1979,6,13,-4.4037251
1979,6,14,-4.3264473
1979,6,15,-3.6333937
1979,6,16,2.5761667
1979,6,17,1.1138664
1979,6,18,3.6585598
1979,6,19,-0.01109875
1979,6,20,-4.3609225
1979,6,21,-4.4838443
1979,6,22,-1.1614329
1979,6,23,-0.33743819
1979,6,24,-0.25723681
1979,6,25,0.44140464
1979,6,26,-1.9444008
1979,6,27,-1.8977023
1979,6,28,-1.4926762
1979,6,29,-0.25159063
1979,6,30,-1.1630665
1979,7,1,-0.58396919
1979,7,2,-1.4709087
1979,7,3,-1.3222913
1979,7,4,-2.8476202
1979,7,5,-2.3643503
1979,7,6,-0.59998626
1979,7,7,-0.085050374
1979,7,8,-0.34340344
1979,7,9,0.30071967
1979,7,10,0.031500614
1979,7,11,0.65811864
1979,7,12,2.0308712
1979,7,13,0.44620274
1979,7,14,-0.40837391
1979,7,15,-3.1972076
1979,7,16,-2.644466
1979,7,17,0.16395225
1979,7,18,-3.2219277
1979,7,19,-5.1845964
1979,7,20,-0.29049583
1979,7,21,-0.70312056
1979,7,22,-2.2963174
1979,7,23,1.9249291
1979,7,24,2.4264946
1979,7,25,3.0561544
1979,7,26,2.9600817
1979,7,27,3.9829181
1979,7,28,2.9000284
1979,7,29,3.3932118
1979,7,30,1.6187466
1979,7,31,0.9262135
1979,8,1,-0.67089578
1979,8,2,-1.780125
1979,8,3,0.22503688
1979,8,4,1.2818185
1979,8,5,1.7961775
1979,8,6,0.88673206
1979,8,7,0.59346819
1979,8,8,3.634997
1979,8,9,4.2944898
1979,8,10,1.3266323
1979,8,11,-0.27718748
1979,8,12,-0.89401958
1979,8,13,-0.040231568
1979,8,14,-0.8179223
1979,8,15,0.80031693
1979,8,16,-0.63783844
1979,8,17,3.3675054
1979,8,18,3.2956018
1979,8,19,3.1450255
1979,8,20,5.2688108
1979,8,21,3.2350484
1979,8,22,2.0474035
1979,8,23,3.5379018
1979,8,24,4.1742779
1979,8,25,2.1175183
1979,8,26,1.7569509
1979,8,27,-1.5851814
1979,8,28,-3.0352656
1979,8,29,0.076479734
1979,8,30,0.13746515
1979,8,31,-2.4010191
1979,9,1,-2.1487793
1979,9,2,-1.4583372
1979,9,3,-3.9030124
1979,9,4,-3.8011692
1979,9,5,2.8535083
1979,9,6,2.2847017
1979,9,7,2.3199668
1979,9,8,2.4442429
1979,9,9,0.98809863
1979,9,10,2.7138354
1979,9,11,-0.96127556
1979,9,12,-1.4831598
1979,9,13,1.1152666
1979,9,14,-1.8262987
1979,9,15,-4.2310856
1979,9,16,-4.2434179
1979,9,17,-3.5788836
1979,9,18,-2.8006918
1979,9,19,2.1087328
1979,9,20,0.26737839
1979,9,21,1.6850758
1979,9,22,3.1878569
1979,9,23,1.2284239
1979,9,24,-0.094311056
1979,9,25,1.6264926
1979,9,26,-1.2982844
1979,9,27,-2.7451763
1979,9,28,-2.939914
1979,9,29,-3.2970467
1979,9,30,-3.7581715
1979,10,1,-1.2646957
1979,10,2,-1.6172619
1979,10,3,-2.206006
1979,10,4,-1.1590667
1979,10,5,-0.83660618
1979,10,6,-0.68043486
1979,10,7,0.45711409
1979,10,8,3.4431017
1979,10,9,2.1124772
1979,10,10,0.21366362
1979,10,11,0.88651197
1979,10,12,1.4634916
1979,10,13,1.8258306
1979,10,14,1.8236298
1979,10,15,2.6477331
1979,10,16,3.0248327
1979,10,17,5.835971
1979,10,18,4.9362627
1979,10,19,5.4724577
1979,10,20,4.3657554
1979,10,21,2.8228337
1979,10,22,2.0861692
1979,10,23,2.7828567
1979,10,24,2.7129136
1979,10,25,3.2662342
1979,10,26,3.8691729
1979,10,27,-1.1969709
1979,10,28,-0.8087912
1979,10,29,0.73504973
1979,10,30,3.334645
1979,10,31,0.34357025
1979,11,1,2.9053378
1979,11,2,3.1964393
1979,11,3,0.22916202
1979,11,4,1.6382309
1979,11,5,3.6633259
1979,11,6,5.9582387
1979,11,7,0.43262226
1979,11,8,1.7710199
1979,11,9,2.5140761
1979,11,10,3.857876
1979,11,11,6.2027537
1979,11,12,2.0824441
1979,11,13,-1.7047105
1979,11,14,0.87157159
1979,11,15,3.1259597
1979,11,16,7.9013705
1979,11,17,5.7912258
1979,11,18,5.7607602
1979,11,19,5.4558064
1979,11,20,6.9832488
1979,11,21,5.2743708
1979,11,22,3.3241526
1979,11,23,2.8726955
1979,11,24,4.8270291
1979,11,25,5.7044261
1979,11,26,7.1432551
1979,11,27,7.9752787
1979,11,28,8.4226745
1979,11,29,7.9483855
1979,11,30,3.1640229
1979,12,1,3.0404389
1979,12,2,7.618794
1979,12,3,5.6832377
1979,12,4,4.9914976
1979,12,5,6.8615005
1979,12,6,6.8262158
1979,12,7,6.9604606
1979,12,8,6.2328797
1979,12,9,2.9778407
1979,12,10,8.5549717
1979,12,11,7.6849105
1979,12,12,5.0828296
1979,12,13,2.6264944
1979,12,14,0.99450387
1979,12,15,4.4019491
1979,12,16,7.2032474
1979,12,17,8.7102392
1979,12,18,7.2983112
1979,12,19,7.6931271
1979,12,20,6.9033364
1979,12,21,5.569327
1979,12,22,8.1730763
1979,12,23,9.7216561
1979,12,24,7.2899718
1979,12,25,5.4320757
1979,12,26,7.6125655
1979,12,27,7.5429366
1979,12,28,4.5202736
1979,12,29,4.832085
1979,12,30,5.3717803
1979,12,31,7.1965749
1980,1,1,7.2140605
1980,1,2,6.5941332
1980,1,3,5.3215085
1980,1,4,6.9117677
1980,1,5,5.1979755
1980,1,6,6.8653804
1980,1,7,4.9702707
1980,1,8,4.2586719
1980,1,9,5.3067761
1980,1,10,5.3119914
1980,1,11,7.6624074
1980,1,12,9.1325352
1980,1,13,9.4340463
1980,1,14,10.379282
1980,1,15,7.9945138
1980,1,16,6.8117838
1980,1,17,6.2002779
1980,1,18,6.0446729
1980,1,19,5.9260557
1980,1,20,9.791149
1980,1,21,11.421534
1980,1,22,7.848521
1980,1,23,4.0001646
1980,1,24,1.7775087
1980,1,25,6.2567419
1980,1,26,5.3667458
1980,1,27,3.2457317
1980,1,28,6.6147973
1980,1,29,7.4668555
1980,1,30,5.7946593
1980,1,31,6.6959379
1980,2,1,8.4032681
1980,2,2,6.272159
1980,2,3,8.2381878
1980,2,4,6.2277829
1980,2,5,6.6147979
1980,2,6,6.2143228
1980,2,7,6.2779505
1980,2,8,6.5748119
1980,2,9,4.477212
1980,2,10,2.7059757
1980,2,11,6.5872012
1980,2,12,3.9861822
1980,2,13,3.7866621
1980,2,14,6.2881029
1980,2,15,9.7535979
1980,2,16,8.6393392
1980,2,17,10.838999
1980,2,18,11.741645
1980,2,19,10.5505
1980,2,20,9.5988078
1980,2,21,9.8214365
1980,2,22,10.932774
1980,2,23,9.4772667
1980,2,24,6.7001344
1980,2,25,7.9586764
1980,2,26,7.2356176
1980,2,27,10.272492
1980,2,28,10.159074
1980,2,29,1.0730971
1980,3,1,2.1229773
1980,3,2,4.7660689
1980,3,3,6.8156165
1980,3,4,6.9233751
1980,3,5,5.2514721
1980,3,6,3.6675739
1980,3,7,3.4368186
1980,3,8,5.879937
1980,3,9,7.1696732
1980,3,10,6.7086438
1980,3,11,9.0843615
1980,3,12,8.9973956
1980,3,13,9.1149348
1980,3,14,5.7816333
1980,3,15,3.5325585
1980,3,16,3.525673
1980,3,17,4.4050751
1980,3,18,6.2765824
1980,3,19,6.3065822
1980,3,20,4.3594734
1980,3,21,4.7227709
1980,3,22,3.988091
1980,3,23,2.0569391
1980,3,24,3.5592931
1980,3,25,1.6582851
1980,3,26,8.0437173
1980,3,27,6.2688772
1980,3,28,6.4182792
1980,3,29,5.3015576
1980,3,30,4.448008
1980,3,31,5.3132775
1980,4,1,5.9969772
1980,4,2,7.1964155
1980,4,3,4.9725534
1980,4,4,2.1562784
1980,4,5,0.57808424
1980,4,6,2.204537
1980,4,7,4.7298009
1980,4,8,3.7242538
1980,4,9,1.3073731
1980,4,10,0.11701624
1980,4,11,-1.6100502
1980,4,12,-1.5283301
1980,4,13,-0.74017683
1980,4,14,-1.3729856
1980,4,15,-1.6905228
1980,4,16,1.4970206
1980,4,17,0.61217504
1980,4,18,-1.4245351
1980,4,19,0.32717881
1980,4,20,2.883777
1980,4,21,3.5176166
1980,4,22,3.1667213
1980,4,23,3.1493991
1980,4,24,2.63641
1980,4,25,2.3408992
1980,4,26,4.0757798
1980,4,27,3.5739708
1980,4,28,-0.39669733
1980,4,29,-2.2492674
1980,4,30,-1.0267037
1980,5,1,0.96039751
1980,5,2,1.3403389
1980,5,3,2.2608735
1980,5,4,3.5657278
1980,5,5,1.5064721
1980,5,6,0.98270243
1980,5,7,0.9606433
1980,5,8,0.70448118
1980,5,9,3.2010338
1980,5,10,2.053281
1980,5,11,3.9945825
1980,5,12,2.3752634
1980,5,13,2.8631765
1980,5,14,2.4230658
1980,5,15,-1.0206892
1980,5,16,-1.145118
1980,5,17,0.34004783
1980,5,18,3.6638317
1980,5,19,4.7539002
1980,5,20,4.1675566
1980,5,21,4.5840677
1980,5,22,6.4688777
1980,5,23,3.064976
1980,5,24,0.49100777
1980,5,25,-0.67132177
1980,5,26,1.3005138
1980,5,27,1.0498498
1980,5,28,1.2940629
1980,5,29,2.6555855
1980,5,30,1.1589257
1980,5,31,-0.32627722
1980,6,1,-2.0096397
1980,6,2,-1.6877358
1980,6,3,-2.1574604
1980,6,4,1.4397018
1980,6,5,3.5262733
1980,6,6,3.3504577
1980,6,7,2.2227761
1980,6,8,2.6322016
1980,6,9,0.11135441
1980,6,10,-1.2491109
1980,6,11,-0.20850729
1980,6,12,-2.2865024
1980,6,13,-1.7201316
1980,6,14,-1.6617556
1980,6,15,2.6847293
1980,6,16,2.4113206
1980,6,17,3.2138818
1980,6,18,-1.1097051
1980,6,19,-0.66196402
1980,6,20,1.0551361
1980,6,21,3.2307455
1980,6,22,3.035973
1980,6,23,0.46752181
1980,6,24,-1.6846205
1980,6,25,-5.6363384
1980,6,26,-5.5222258
1980,6,27,1.5724677
1980,6,28,-1.7057474
1980,6,29,-6.2734988
1980,6,30,-5.7478535
1980,7,1,-7.105217
1980,7,2,-6.344952
1980,7,3,-4.3838898
1980,7,4,-3.1255018
1980,7,5,-0.42493332
1980,7,6,-0.09169188
1980,7,7,1.0916047
1980,7,8,-0.089804093
1980,7,9,-3.0797975
1980,7,10,-2.8401787
