year,month,day,tmin
1979,7,31,-0.40508367
1979,8,1,-1.9953521
1979,8,2,-3.002382
1979,8,3,-1.2838416
1979,8,4,-0.12618698
1979,8,5,0.50696562
1979,8,6,-0.35141573
1979,8,7,-0.73899889
1979,8,8,2.4185254
1979,8,9,2.9991168
1979,8,10,0.2500723
1979,8,11,-1.5060113
1979,8,12,-1.5262988
1979,8,13,-1.0990858
1979,8,14,-1.9020059
1979,8,15,-0.39852748
1979,8,16,-1.5256957
1979,8,17,2.1935463
1979,8,18,1.7925248
1979,8,19,1.732603
1979,8,20,3.6181027
1979,8,21,1.7745946
1979,8,22,0.71125951
1979,8,23,2.1066427
1979,8,24,2.7373923
1979,8,25,0.74943543
1979,8,26,0.30953856
1979,8,27,-2.7789624
1979,8,28,-4.2140238
1979,8,29,-1.3545845
1979,8,30,-0.99710588
1979,8,31,-3.5466259
1979,9,1,-3.3183362
1979,9,2,-2.5072164
1979,9,3,-5.1778003
1979,9,4,-4.7003602
1979,9,5,1.7320991
1979,9,6,1.6494064
1979,9,7,1.1261232
1979,9,8,1.1915162
1979,9,9,-0.185942
1979,9,10,1.2663249
1979,9,11,-1.9009933
1979,9,12,-2.6341003
1979,9,13,-0.23510086
1979,9,14,-3.0378256
1979,9,15,-5.2657317
1979,9,16,-5.6087607
1979,9,17,-4.7094901
1979,9,18,-3.54671
1979,9,19,0.9436043
1979,9,20,-0.97649496
1979,9,21,0.30086454
1979,9,22,1.6921478
1979,9,23,0.019925313
1979,9,24,-1.3907485
1979,9,25,0.26338829
1979,9,26,-2.4272577
1979,9,27,-3.9691016
1979,9,28,-4.3908155
1979,9,29,-4.8138019
1979,9,30,-5.2163591
1979,10,1,-2.8223277
1979,10,2,-3.3639392
1979,10,3,-3.7279427
1979,10,4,-2.5558855
1979,10,5,-2.2164123
1979,10,6,-1.8507307
1979,10,7,-0.80953998
1979,10,8,2.1340834
1979,10,9,0.83251945
1979,10,10,-0.76921241
1979,10,11,-0.078861947
1979,10,12,-0.36608429
1979,10,13,0.46538748
1979,10,14,0.2599814
1979,10,15,1.2992293
1979,10,16,1.6087874
1979,10,17,4.2289764
1979,10,18,3.5041389
1979,10,19,4.0268211
1979,10,20,2.9929908
1979,10,21,1.3798326
1979,10,22,0.67211321
1979,10,23,1.508865
1979,10,24,1.4777904
1979,10,25,2.0582559
1979,10,26,2.5928608
1979,10,27,-2.6276642
1979,10,28,-2.2696938
1979,10,29,-0.65300672
1979,10,30,1.9608272
1979,10,31,-0.97940277
1979,11,1,1.6925617
1979,11,2,1.8924064
1979,11,3,-0.80956382
1979,11,4,0.67321036
1979,11,5,2.3450916
1979,11,6,4.7573453
1979,11,7,-0.64979845
1979,11,8,0.061622997
1979,11,9,0.80088602
1979,11,10,2.4357158
1979,11,11,4.8671248
1979,11,12,0.68517585
1979,11,13,-3.3944107
1979,11,14,-0.90126979
1979,11,15,1.8368807
1979,11,16,6.7333382
1979,11,17,4.3921214
1979,11,18,4.2237264
1979,11,19,3.9032322
1979,11,20,5.7732397
1979,11,21,4.0729922
1979,11,22,1.9576843
1979,11,23,1.6387564
1979,11,24,3.749368
1979,11,25,4.0265103
1979,11,26,6.1083877
1979,11,27,6.7639368
1979,11,28,7.5573667
1979,11,29,7.2109033
1979,11,30,2.047255
1979,12,1,1.9631748
1979,12,2,6.0615939
1979,12,3,4.3731592
1979,12,4,3.8622736
1979,12,5,5.4046626
1979,12,6,5.4076091
1979,12,7,5.5381015
1979,12,8,5.1269405
1979,12,9,2.0064594
1979,12,10,7.3052582
1979,12,11,6.5890682
1979,12,12,3.8884278
1979,12,13,1.3465597
1979,12,14,-0.032254485
1979,12,15,3.4414514
1979,12,16,6.2603657
1979,12,17,8.0072483
1979,12,18,6.4164469
1979,12,19,6.7293267
1979,12,20,5.6377536
1979,12,21,4.5531297
1979,12,22,7.432264
1979,12,23,9.0405014
1979,12,24,6.651405
1979,12,25,4.8717998
1979,12,26,7.0072993
1979,12,27,6.689065
1979,12,28,3.8101872
1979,12,29,3.7375333
1979,12,30,4.649432
1979,12,31,5.9222253
1980,1,1,6.655363
1980,1,2,5.9234048
1980,1,3,4.5280069
1980,1,4,6.5168453
1980,1,5,4.5407669
1980,1,6,6.0753132
1980,1,7,4.2131911
1980,1,8,3.3987358
1980,1,9,4.4885632
1980,1,10,4.4258474
1980,1,11,6.7529819
1980,1,12,8.1942935
1980,1,13,8.440891
1980,1,14,9.4417703
1980,1,15,6.9178938
1980,1,16,5.8545302
1980,1,17,5.382115
1980,1,18,5.1362328
1980,1,19,4.9412953
1980,1,20,9.2611752
1980,1,21,11.003415
1980,1,22,7.0989408
1980,1,23,3.1266818
1980,1,24,1.190559
1980,1,25,5.5428793
1980,1,26,4.4678754
1980,1,27,2.5053932
1980,1,28,6.4963237
1980,1,29,6.7727707
1980,1,30,5.1812423
1980,1,31,5.949685
