"Description: ","Standardised Precipitation Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spi
1979-01, -99.9
1979-02, -99.9
1979-03, -99.9
1979-04, -99.9
1979-05, -99.9
1979-06, -99.9
1979-07, -99.9
1979-08, -99.9
1979-09, -99.9
1979-10, -99.9
1979-11, -99.9
1979-12, -99.9
1980-01, -99.9
1980-02, -99.9
1980-03, -99.9
1980-04, -99.9
1980-05, -99.9
1980-06, -99.9
1980-07, -99.9
1980-08, -99.9
1980-09, -99.9
1980-10, -99.9
1980-11, -99.9
1980-12, 2.02800711549703
1981-01, 2.07021401062323
1981-02, 2.09270619747273
1981-03, 2.19842249672857
1981-04, 2.37937099545939
1981-05, 2.62869865038975
1981-06, 2.72559915329188
1981-07, 2.44080659231574
1981-08, 2.10353997090197
1981-09, 2.09161304909853
1981-10, 1.97229201245841
1981-11, 1.77833887590148
1981-12, 1.53911883992114
1982-01, 1.66007934373782
1982-02, 1.56368661390654
1982-03, 1.54685280919532
1982-04, 1.20073156780529
1982-05, 0.849991651938694
1982-06, 0.885184133032048
1982-07, 0.971182386087641
1982-08, 0.883714108786524
1982-09, 1.07044346728329
1982-10, 1.24667486978741
1982-11, 1.28140516412334
1982-12, 1.06889703789444
1983-01, 0.978314505379359
1983-02, 0.981143133082576
1983-03, 0.96627107251445
1983-04, 0.864358929338463
1983-05, 0.439042175714498
1983-06, 0.497607913066957
1983-07, 0.651300060813001
1983-08, 0.653900054829522
1983-09, 0.751702927168358
1983-10, 0.802364163169831
1983-11, 0.767321436076121
1983-12, 0.644902325986067
1984-01, 0.506229864372264
1984-02, 0.511189374634084
1984-03, 0.465020870354957
1984-04, 0.522706319645908
1984-05, 0.731998711798758
1984-06, 0.77540109945439
1984-07, 0.826304241261057
1984-08, 0.693310752238661
1984-09, 0.618729482694743
1984-10, 0.736042695340784
1984-11, 0.68124136435998
1984-12, 0.625763858462368
1985-01, 0.624730898823854
1985-02, 0.665308134244122
1985-03, 0.681357236773449
1985-04, 0.718396951891314
1985-05, 1.1317965775318
1985-06, 1.13520443046401
1985-07, 1.01677015119329
1985-08, 0.993927704135395
1985-09, 0.927991083848975
1985-10, 0.898591959305627
1985-11, 0.988404573019523
1985-12, 0.905286411347702
1986-01, 0.880549540191196
1986-02, 0.944507515367358
1986-03, 1.03108041086871
1986-04, 1.11922809507331
1986-05, 1.08839179712906
1986-06, 0.960001733538348
1986-07, 0.592954445013209
1986-08, 0.887651030015731
1986-09, 0.825133595368601
1986-10, 0.579745662705863
1986-11, 0.720716663228467
1986-12, 0.640020517544448
1987-01, 0.544890299993901
1987-02, 0.536403167877579
1987-03, 0.576813020590959
1987-04, 0.498280207619708
1987-05, 0.148240795019985
1987-06, -0.025210123691901
1987-07, 0.364278053866032
1987-08, 0.536978309594558
1987-09, 0.45161009229537
