"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spei
1979-01, -99.9
1979-02, -99.9
1979-03, -99.9
1979-04, -99.9
1979-05, -99.9
1979-06, -99.9
1979-07, -99.9
1979-08, -99.9
1979-09, -99.9
1979-10, -99.9
1979-11, -99.9
1979-12, -99.9
1980-01, -99.9
1980-02, -99.9
1980-03, -99.9
1980-04, -99.9
1980-05, -99.9
1980-06, -99.9
1980-07, -99.9
1980-08, -99.9
1980-09, -99.9
1980-10, -99.9
1980-11, -99.9
1980-12, 2.12191721641572
1981-01, 2.20303021039548
1981-02, 2.27636057681199
1981-03, 2.34580200291004
1981-04, 2.51996056637219
1981-05, 2.6365637805145
1981-06, 2.5935672234605
1981-07, 2.55212852421948
1981-08, 2.33891823929096
1981-09, 2.43658609545396
1981-10, 2.21682471583369
1981-11, 1.95979189804241
1981-12, 1.6825469888634
1982-01, 1.80326066992723
1982-02, 1.71350755987326
1982-03, 1.67719904700254
1982-04, 1.28575005872835
1982-05, 0.914007990567177
1982-06, 0.955488211653666
1982-07, 1.04476068392886
1982-08, 0.94904008979742
1982-09, 1.17562096711564
1982-10, 1.41970449587225
1982-11, 1.46208004438159
1982-12, 1.18298935940651
1983-01, 1.01015000985274
1983-02, 1.0044157904243
1983-03, 0.986489309167812
1983-04, 0.867661394222559
1983-05, 0.410953181644412
1983-06, 0.492101637447066
1983-07, 0.631174045428628
1983-08, 0.610244357282805
1983-09, 0.71034434888644
1983-10, 0.783310329079215
1983-11, 0.705337542239429
1983-12, 0.531591773862631
1984-01, 0.35682590242527
1984-02, 0.349452575341318
1984-03, 0.295302748437787
1984-04, 0.357385581246555
1984-05, 0.621754332915419
1984-06, 0.676954934524199
1984-07, 0.705975796897736
1984-08, 0.533753576783093
1984-09, 0.418397179160678
1984-10, 0.580491280579613
1984-11, 0.502313268520314
1984-12, 0.484335583964403
1985-01, 0.511404312831455
1985-02, 0.550858535881575
1985-03, 0.583020548535172
1985-04, 0.634296523297198
1985-05, 1.105134469574
1985-06, 1.09779566886309
1985-07, 0.969920441435059
1985-08, 0.946564570121281
1985-09, 0.84966315580964
1985-10, 0.836163326522807
1985-11, 0.952508072785116
1985-12, 0.892603679373788
1986-01, 0.874045384763876
1986-02, 0.946491450648029
1986-03, 1.07465659467655
1986-04, 1.18897087277912
1986-05, 1.15646179885056
1986-06, 1.02181237647038
1986-07, 0.615027379550416
1986-08, 0.936926828376396
1986-09, 0.861756716028179
1986-10, 0.527823473592569
1986-11, 0.713654747723407
1986-12, 0.632073002722483
1987-01, 0.492418254315343
1987-02, 0.459705457347791
1987-03, 0.499082095451501
1987-04, 0.398282413732162
1987-05, 0.0345408204269255
1987-06, -0.122086129719071
1987-07, 0.263257282848393
1987-08, 0.437014375530278
1987-09, 0.325217556400892
