"Description: ","Heatwave definitions and aspects"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 2.41412407407407, 5.70675, 2, 3, 6
1980, 0.534499999999997, 1.04288888888888, 1, 3, 3
1981, 4.65913194444445, 8.38019444444448, 1, 4, 4
1982, 4.92673190972222, 11.6633333333333, 4, 10, 22
1983, 5.46447236772487, 24.5125, 5, 7, 25
1984, 4.44522523148147, 14.7189305555555, 3, 4, 10
1985, 7.05468185185186, 15.95525, 1, 15, 15
1986, 1.45656458333333, 2.75555833333332, 1, 4, 4
1987, -99.9, -99.9, 0, -99.9, 0
1988, -99.9, -99.9, 0, -99.9, 0
1989, -99.9, -99.9, 0, -99.9, 0
1990, 4.09599999999999, 7.44199999999999, 1, 4, 4
1991, 4.6206576388889, 6.0198888888889, 2, 4, 5
1992, 2.09681481481482, 4.05066666666667, 1, 3, 3
1993, 2.6196462962963, 3.74468888888889, 1, 3, 3
1994, -99.9, -99.9, 0, -99.9, 0
1995, 5.51734682539683, 11.7045, 1, 7, 7
1996, 5.03192018518519, 19.8757777777778, 4, 5, 16
1997, 5.45606759259259, 12.9120833333333, 3, 5, 13
1998, 3.29928425925926, 5.76091666666665, 4, 3, 11
1999, -99.9, -99.9, 0, -99.9, 0
2000, -99.9, -99.9, 0, -99.9, 0
2001, 4.71324220679013, 12.7810333333333, 3, 6, 13
2002, -99.9, -99.9, 0, -99.9, 0
2003, 6.51731712962963, 18.9277777777778, 3, 4, 11
2004, 7.22865740740741, 27.7147361111111, 2, 5, 8
2005, 4.62004027777778, 6.30746666666666, 1, 4, 4
2006, 3.45212222222223, 5.06488888888889, 1, 3, 3
2007, 5.85482320426487, 25.2891527777778, 3, 11, 17
2008, 6.66892302469136, 26.93925, 3, 15, 22
2009, -99.9, -99.9, 0, -99.9, 0
2010, 5.32485277777778, 10.5528888888889, 1, 3, 3
2011, 3.08240300462963, 7.78888888888889, 5, 8, 23
2012, 7.71520336805556, 28.3074444444445, 4, 6, 19
2013, 1.73462777777778, 6.1873388888889, 2, 6, 9
2014, 2.54510648148148, 8.36105555555556, 3, 5, 11
2015, 2.68876931481482, 5.84966666666666, 5, 5, 18
2016, 6.45422800099206, 16.0503055555555, 4, 7, 19
2017, -99.9, -99.9, 0, -99.9, 0
2018, 11.5933107253087, 42.3444444444445, 3, 4, 11
2019, 2.34677962962963, 7.79777777777778, 4, 4, 13
2020, -99.9, -99.9, -99.9, -99.9, -99.9
