"Description: ","Heatwave definitions and aspects"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 25.8, 25.8, 1, 3, 3
1980, 28.4666666666667, 28.8, 1, 3, 3
1981, 29.35, 30.6, 1, 4, 4
1982, 31.3916666666667, 34, 2, 4, 7
1983, 27.9958333333333, 33.8, 4, 7, 15
1984, 27.4333333333333, 28, 1, 3, 3
1985, 26.47, 31, 2, 6, 11
1986, 28.8166666666667, 30.7, 2, 3, 6
1987, -99.9, -99.9, 0, -99.9, 0
1988, 29.7833333333333, 32.1, 2, 3, 6
1989, -99.9, -99.9, 0, -99.9, 0
1990, 27.3, 27.7, 1, 3, 3
1991, -99.9, -99.9, 0, -99.9, 0
1992, -99.9, -99.9, 0, -99.9, 0
1993, 29.0666666666667, 30.9, 1, 3, 3
1994, 27.3, 27.6, 1, 3, 3
1995, 29.3666666666667, 31.4, 1, 6, 6
1996, 28.5179166666667, 31.3, 4, 5, 15
1997, 29.7072222222222, 33.3, 3, 5, 12
1998, 27.5666666666667, 33.6, 3, 4, 9
1999, -99.9, -99.9, 0, -99.9, 0
2000, 25.4666666666667, 26.5, 1, 3, 3
2001, 29.8916666666667, 33.4, 4, 4, 14
2002, -99.9, -99.9, 0, -99.9, 0
2003, 32.6833333333333, 35.2, 2, 3, 6
2004, 33.3, 35, 1, 3, 3
2005, 24.1333333333333, 24.8, 1, 3, 3
2006, 24.9, 28.3, 1, 4, 4
2007, 31.1395833333333, 34.4, 4, 4, 14
2008, 29.8813333333333, 32.2, 5, 5, 18
2009, -99.9, -99.9, 0, -99.9, 0
2010, 31.5333333333333, 34.3, 2, 3, 6
2011, 29.2, 31.6, 2, 6, 10
2012, 29.5, 34.1, 4, 4, 15
2013, 29.3516666666667, 31.7, 2, 10, 13
2014, 27.6190476190476, 28.6, 2, 7, 10
2015, 28.4236111111111, 32.2, 6, 4, 20
2016, 28.9175, 34.8, 2, 5, 9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 29.3416666666667, 37.2, 4, 3, 12
2019, 28.4083333333333, 33.1, 4, 3, 12
2020, -99.9, -99.9, -99.9, -99.9, -99.9
