Year,January,February,March,April,May,June,July,August,September,October,November,December,1-day min,3-day min,7-day min,30-day min,90-day min,1-day max,3-day max,7-day max,30-day max,90-day max,Zero days,Base flow,Date min,Date max,Lo pulse #,Lo pulse L,Hi pulse #,Hi pulse L,Rise rate,Fall rate,Reversals,Jan lowf,Feb lowf,Mar  lowf,Apr  lowf,May lowf,June lowf,July lowf,Aug lowf,Sept lowf,Oct lowf,Nov lowf,Dec lowf,Xlow1 peak,Xlow1 dur,Xlow1 time,Xlow1 freq,High1 peak,High1 dur,High1 time,High1 freq,High1 rise,High1 fall,Sfld1 peak,Sfld1 dur,Sfld1 time,Sfld1 freq,Sfld1 rise,Sfld1 fall,Lfld1 peak,Lfld1 dur,Lfld1 time,Lfld1 freq,Lfld1 rise,Lfld1 fall
1971,8.25,8.34,5.6,6.82,12.5,40.15,119,76.2,47.25,29.6,16.93,14.24,5.02,5.03,5.147,5.676,6.759,250,227.7,188.3,123,94.89,0,0.1353,84,143,2,14,4,9.5,2.12,-0.45,58,8.25,8.34,5.6,6.82,5.65,38.4,,,44.2,29.6,16.93,14.24,,,,0,60.55,3.5,254.5,2,9.85,-5.217,222,45.5,167,2,27.11,-10.46,,,,0,,
1972,11.5,8.846,6.195,4.776,17.9,71.9,62.4,72.9,49.65,58.5,21.15,9.47,4.28,4.28,4.32,4.687,6.325,137,124.3,103.7,81.8,73.6,0,0.1212,118,227,1,42,5,14,2.36,-0.3,65,11.5,8.846,6.195,4.776,10.2,,,,44.65,47.05,17.8,9.47,,,,0,75,14,274,5,7.56,-2.892,,,,0,,,,,,0,,
1973,9.4,4.52,2.95,1.75,2.6,45.9,83,56.1,49.3,32.2,15.5,7.8,0.5,0.5,0.6033,1.417,2.711,160,150,119.5,96.14,71.69,0,0.02162,111,173,4,18,3,5,1.13,-0.765,40,9.4,4.52,4.95,3.755,12.2,39.7,,,27.3,30.4,15.5,7.8,1.535,10,76,4,58,5,288,3,19.9,-5.333,,,,0,,,,,,0,,
1974,6.79,4.17,3.88,3.8,12.8,60.5,49.5,45.3,29.6,20.1,11.3,10.5,1.04,1.34,1.511,3.371,3.838,137,126.7,108.7,75.64,56.4,0,0.0634,59,179,3,51,3,17,1.315,-0.8,41,6.79,4.475,4.925,3.8,16.65,22.1,34.45,36.4,29.6,20.1,11.3,10.5,2.06,10,87,3,81,17,179,3,5.6,-4.53,,,,0,,,,,,0,,
1975,1,2.625,0.5,15.55,29.3,89.25,131,49.5,51,24.2,21.35,14.9,0.1,0.1,0.1,0.3901,1.34,171,165.3,155.9,132.9,88.7,0,0.002777,90,190,1,57,3,24,2.371,-1.045,42,3.82,4.095,,19.25,28,,,44.6,38.6,22.5,21.35,14.9,0.374,38,51,3,68.8,24,244,3,5.96,-3.327,,,,0,,,,,,0,,
1976,15.5,2.74,1,0.65,2.6,62.4,56.7,37.7,23.35,26.2,18.3,9.41,0.1,0.2093,0.5,0.83,2.31,164,163.3,161.6,97.23,61.22,0,0.02116,66,175,5,2,3,16,1.1,-1,71,15.5,5.705,13.6,,7.56,12.2,44.85,35.5,23.35,26.2,18.3,9.41,0.5,22,91,3,77.1,16,197,3,10.53,-4.55,,,,0,,,,,,0,,
1977,5.76,3.105,1.85,4.535,26.4,85.2,145,79.1,36.1,47.3,27.5,18.4,0.235,0.6893,0.874,1.478,3.02,178,174.7,164.9,139.3,106.8,0,0.021,97,210,2,47.5,10,2,2.9,-1.9,83,5.76,4.18,,5.31,21.3,,,45.1,34.6,34.6,27.4,18.4,1.418,25.5,73,2,58.7,2,266,9,12.8,-8.75,178,90,210,1,2.281,-4.091,,,,0,,
1978,8.38,3.9,2.69,1.915,12.4,41.85,174,61,72.6,51.8,35.5,13,1.21,1.283,1.356,1.786,2.774,354,297,250.7,168,98.77,0,0.03448,118,207,5,7,11,3,3.2,-1,76,8.38,3.9,3.02,,12.75,25.1,37,40.65,38.15,43.5,34.7,13,2.4,11,82,3,55.65,2.5,258,10,9.293,-7.411,,,,0,,,354,50,207,1,13.21,-11.37
1979,5.45,3.305,2.99,1.925,2.45,17.55,19.99,23.26,26.48,28.7,29.15,31.7,1.44,1.443,1.514,1.786,2.444,73.5,69.17,54.7,36.2,31.63,0,0.09377,120,346,1,138,2,2.5,0.1056,-0.14,38,5.45,3.45,3.025,,3.144,17.55,19.99,23.26,26.48,28.7,29,27.2,2.75,6,80,5,62.5,2.5,329,2,32.85,-10.09,,,,0,,,,,,0,,
1980,13.4,7.78,6.04,26,94,104,93.3,102,31.8,16.5,11.6,9.12,3.56,3.85,5.363,6.307,9.197,250,236,200.4,127.5,111.1,0,0.1191,362,135,6,3.5,1,115,2.8,-1,86,13.4,7.78,6.04,26,30.65,,,,31.8,16.5,11.6,9.12,,,,0,,,,0,,,250,115,135,1,33.63,-1.852,,,,0,,
1981,7.24,4.945,10.6,7.495,73.8,74.25,63.4,68.6,56.55,44.6,10.2,3.81,1.93,2.027,2.224,4.244,7.727,110,107.7,103.6,91.97,72.86,0,0.06613,17,138,7,1,4,35,1.3,-0.83,136,8.94,4.945,10.85,7.495,19.8,45.6,46.45,34.3,32.7,15.8,10.2,3.81,2.355,5.5,41,2,81.45,35,199,4,3.868,-1.57,,,,0,,,,,,0,,
1982,3.23,3.35,2.99,2.7,11.6,60.45,94.8,58.8,53.15,37.1,23.3,9.4,2.4,2.407,2.476,2.729,3.123,212,203.3,190.1,120.9,83.72,0,0.07437,101,198,4,17.5,7,3,1.5,-0.88,117,3.305,3.7,3.14,3.14,12.1,41.3,,46.4,41.7,36.3,23.3,9.4,2.79,3,72,9,54.4,2.5,238,6,6.7,-4.444,212,57,198,1,7.326,-4.731,,,,0,,
1983,4.48,2.995,2.49,3.395,9.34,50.55,66,44.3,38.3,31.5,13.85,5.84,1.29,1.293,1.417,2.557,3.156,176,165,136.4,87.3,64.28,0,0.05553,19,195,6,8,8,4,1.42,-0.7,88,4.905,3.51,3.09,4.485,9.1,17.4,45.9,41.4,35.1,31.25,13.85,5.84,2.31,11,85,5,58.1,4,232,8,11.28,-9,,,,0,,,,,,0,,
1984,3.42,1.79,1.55,1.94,24.1,69.95,93.5,41.4,34.6,38.5,40.1,13.9,1.42,1.42,1.476,1.645,1.997,229,211.7,169.6,108,80.1,0,0.04283,33,199,2,57.5,8,2,1.85,-1.2,90,3.6,3.715,,,9.415,46.7,,38.6,33.3,33.8,33.1,13.9,1.48,11,40.5,4,66.7,2,263,7,7.3,-9.95,229,65,199,1,4.168,-8.227,,,,0,,
1985,6.22,3.405,2.72,8.39,25.3,65.4,62.2,35.4,41.65,25.9,19.75,9.03,1.62,1.67,1.946,2.958,4.085,189,172.7,142.7,88.22,70.57,0,0.06532,91,185,4,6,4,5,2.2,-0.9,91,6.22,3.405,3.71,9.31,7.33,,38.85,35.4,36.05,25.9,19.75,9.03,2.4,7,80,3,72.5,3,255,3,22,-13.25,189,62,185,1,3.56,-6.781,,,,0,,
1986,4.35,3.655,4.59,11.25,46.9,91.25,58.6,70.3,39.65,22.8,14.2,19.1,2.64,2.717,2.826,3.78,4.647,155,140.7,121.9,104.2,81.26,0,0.0794,42,168,7,9,7,2,2.95,-1.1,102,4.35,4.02,4.59,10.2,22.15,,44.7,46.2,35.6,22.8,13.8,19.1,2.64,5,42,1,67.8,2,213,7,16.2,-8.5,,,,0,,,,,,0,,
1987,6.91,3.525,2.54,5.735,10.6,38.35,83.6,60.6,36.05,27.9,18.9,9.49,2.34,2.34,2.363,2.731,4.367,168,163.3,160.9,101.1,68.35,0,0.0848,79,197,5,11,6,3,1.9,-0.785,82,6.91,3.525,3.615,5.735,10.6,35.6,34.4,41.8,34.9,27.9,18.9,9.49,2.34,19,79,1,61.45,3,191.5,6,16.73,-5.6,,,,0,,,,,,0,,
1988,4.05,3.1,1.7,2.5,5.51,8.67,31,66.7,63.56,17.5,14.05,7.66,1.28,1.32,1.351,1.63,2.23,101,98.63,95.15,80.5,54.57,0,0.06753,57,244,4,14.5,5,3,1.11,-0.5,90,4.2,3.285,3.18,4.105,6.835,7.665,30.3,37.5,38.2,17.5,14.05,7.66,1.565,17.5,80,4,64.9,3,192,5,4.75,-13.2,,,,0,,,,,,0,,
1989,3.13,1.66,1.68,1.76,1.86,15.95,37.5,73.2,34.8,15.7,9.09,10.4,1.34,1.38,1.44,1.591,1.764,147,135.7,120.7,84.16,58.35,0,0.07046,71,214,2,2,3,6,0.395,-0.59,122,3.145,,,2.92,4.56,15.15,34.8,,31.1,15.7,9.09,10.4,2.175,25.5,49,4,115,6,181,3,27.9,-13.48,,,,0,,,,,,0,,
1990,4.71,2.835,2.19,13.9,35.1,54.1,43,61.8,63.75,35,17.8,7.74,1.67,1.67,1.701,2.485,4.475,151,132.3,116.5,73.02,62.73,0,0.05529,83,254,4,32.5,13,2,3,-1.05,114,4.71,3.24,4.29,13.9,34.7,43,40.95,42.5,41.6,33,17.8,7.74,1.71,17,65.5,2,58.4,2,198,13,7.75,-6.35,,,,0,,,,,,0,,
1991,3.18,1.59,1.88,3.645,14.9,50.3,73.9,57.1,44.15,30.6,12.65,13,1.39,1.423,1.48,1.652,2.275,178,159.3,121.9,76.23,67.7,0,0.05289,56,148,2,11,5,12,1.85,-0.9,97,3.41,,3.255,4.35,6.04,41.65,,40.2,41.1,30.6,12.65,13,1.71,12,66,5,69.55,9.5,231,4,10.55,-2.161,178,12,148,1,71.4,-11.95,,,,0,,
1992,7,3.89,3.36,5.52,50.6,118.5,64.1,38,52.8,48,30.8,16.2,3.04,3.073,3.117,3.779,4.266,225,182,146.4,120.8,79.59,0,0.08174,67,157,5,16,12,3,3,-1.2,112,7,3.89,3.36,5.52,38.5,,45.5,36.75,39.9,44,29.85,16.2,,,,0,61.5,3,248,11,9.75,-6,225,56,157,1,22.79,-3.631,,,,0,,
1993,6.79,3.185,2.99,6.835,70,81.15,136,52.6,37.65,19.9,12.55,27.5,2.28,2.283,2.336,2.708,3.977,333,280.7,218.6,164.8,113,0,0.05427,71,190,4,11,4,10,3.095,-1.2,92,6.79,3.23,3.315,7,37.15,,,40,35.3,19.9,12.55,24.65,2.76,3,71,3,117,5,240,3,25.43,-7.7,,,,0,,,333,88,190,1,5.281,-8.157
1994,10.2,4.685,3.13,3.5,11.8,47.55,94,51.6,40.1,43,28.9,28.5,2.5,2.577,2.791,3.102,4.218,206,175,151.1,99.74,70,0,0.08574,78,206,2,40.5,8,2,2.9,-1.1,99,10.2,4.685,3.16,3.5,11.8,31.8,44.6,38.6,39.5,40.1,28.9,26.2,2.5,4,78,1,60.8,2,269,7,11.4,-6.1,206,33,206,1,14.67,-6.974,,,,0,,
1995,12.2,4.75,3.6,4.895,10.9,50.05,105,81.3,49.3,33.5,16.9,7.31,3.2,3.23,3.257,3.788,5.247,252,217.3,202.7,137.1,98.83,0,0.08922,81,178,6,9,5,3,2.75,-0.7,94,12.2,4.75,3.6,4.895,10.9,38.6,,,39.1,33.4,16.9,7.31,,,,0,58.1,2.5,215.5,4,9.05,-8.875,252,86,178,1,29.23,-2.553,,,,0,,
1996,3.33,3.02,2.52,4.59,12,23.6,26.2,42.4,34,18.1,10.7,4.63,1.76,1.773,1.937,2.589,3.111,80,72.27,65,49.71,35.28,0,0.1193,88,237,4,32,3,1,1.18,-0.57,89,3.33,3.27,3.21,4.59,12,23.6,26.2,31.75,33.6,18.1,10.7,4.63,1.775,8,59.5,4,53.1,1,232,3,7.95,-4.9,,,,0,,,,,,0,,
1997,3.12,2.78,1.51,1.725,31.5,124,87.6,62.6,55.05,72.6,39.05,17.3,1.33,1.347,1.369,1.444,2.387,194,180.3,166.7,128.8,93.6,0,0.03147,69,162,1,75,10,2.5,2.5,-1.4,96,3.125,3.8,,17.65,30.2,40.55,,44.25,41.5,45.3,37.9,17.3,1.7,4,69,3,63.6,2,152,9,14.2,-5.833,194,74,162,1,19.23,-2.187,,,,0,,
1998,7.14,3.03,2.02,2.61,4.36,11.5,20.3,37.1,28.25,12.9,6.825,3.19,1.53,1.55,1.566,1.804,2.79,61.9,58.63,54.71,40.52,28.94,0,0.1305,94,234,9,18,3,1,0.53,-0.4,94,7.14,3.195,3.12,3.945,4.69,11.5,20.3,34.6,28.1,12.9,6.825,3.27,2.075,7,57,6,56.9,1,234,3,7.05,-9.1,,,,0,,,,,,0,,
