tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
19.9, 20.6166666666667, 24.1, 27.9833333333333, 29.1, 5.875, 6.51666666666667, 8.6, 11.2, 12.225, 13.35, 14.25, 16.425, 18.7, 19.6125, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.4, 27.8, 18.75
20, 20.5266666666667, 24.1, 28.1, 29.12, 5.9, 6.6, 8.6, 11.2, 11.94, 13.44, 14.2133333333333, 16.45, 18.8466666666667, 19.67, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.4, 27.8, 18.75
20, 20.5, 24, 28.1, 29.23, 6.07, 6.7, 8.8, 11.3633333333333, 12.215, 13.5425, 14.35, 16.45, 18.8816666666667, 19.715, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.4, 27.8, 18.85
20.085, 20.5, 23.8, 28.0633333333333, 29.46, 5.9, 6.53666666666667, 8.7, 11.2, 11.915, 13.5425, 14.1366666666667, 16.325, 18.7, 19.6575, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.4, 27.7033333333333, 18.85
20, 20.4366666666667, 23.9, 27.8, 29.29, 5.9, 6.53666666666667, 8.75, 11.4, 11.9, 13.5925, 14.2, 16.45, 18.7316666666667, 19.715, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.4, 27.7933333333333, 18.8966666666667
20, 20.3366666666667, 23.95, 27.5, 28.745, 5.9, 6.33666666666667, 8.8, 11.4, 12.015, 13.5425, 14.1183333333333, 16.475, 18.75, 19.25, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.4, 27.8, 18.95
19.8, 20.2366666666667, 24, 27.5, 28.66, 5.985, 6.33666666666667, 8.8, 11.1633333333333, 12, 13.585, 14.1683333333333, 16.5, 18.75, 19.25, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.5733333333333, 28, 19.05
19.685, 20.3, 24.15, 27.5, 28.4, 5.9, 6.23666666666667, 8.65, 11.4, 12.015, 13.3275, 14.0183333333333, 16.525, 18.8816666666667, 19.3025, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 28.1, 19.1816666666667
19.785, 20.6, 24.3, 27.5633333333333, 28.43, 5.87, 6.23666666666667, 8.8, 11.5633333333333, 12.215, 13.4925, 14.0866666666667, 16.7, 18.9816666666667, 19.3025, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 28.1, 19.2
19.685, 20.5366666666667, 24.25, 27.6633333333333, 29, 5.685, 6.23666666666667, 8.8, 11.5633333333333, 12.215, 13.585, 13.9683333333333, 16.7, 19, 19.765, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 28.2633333333333, 19.2
19.87, 20.8733333333333, 24.2, 28.0633333333333, 30.115, 5.87, 6.3, 8.8, 11.7, 12.215, 13.7275, 14, 16.7, 19.1816666666667, 20.3725, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 28.4, 19.25
20.385, 21.2366666666667, 24.3, 28.29, 30.115, 5.785, 6.23666666666667, 8.75, 12.1, 12.745, 13.885, 14.0683333333333, 16.7, 19.7316666666667, 20.8575, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 28.6, 19.4316666666667
20.485, 21.4366666666667, 24.6, 28.9, 30.215, 5.885, 6.3, 8.8, 12.1, 12.615, 13.9, 14.0683333333333, 16.7, 20.0633333333333, 20.93, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 28.8, 19.65
20.3, 21.5, 24.55, 29, 30.115, 5.9, 6.33666666666667, 8.9, 12.0633333333333, 12.615, 13.9, 14.1683333333333, 16.675, 20.0633333333333, 20.93, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.8, 28.9, 19.8316666666667
20.755, 21.5366666666667, 24.6, 29.1266666666667, 30.2, 5.9, 6.3, 8.95, 12.1, 12.73, 13.9425, 14.2866666666667, 16.65, 20.0633333333333, 20.93, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9, 29, 19.9
20.44, 21.4366666666667, 24.7, 29.2, 30.23, 5.885, 6.23666666666667, 9, 11.9633333333333, 12.5, 13.8775, 14.2866666666667, 16.7, 20.0316666666667, 20.8075, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9, 29.2, 20
20, 21.3, 24.9, 29.4633333333333, 30.53, 5.8, 6.3, 9.1, 11.5, 12.2, 13.735, 14.2866666666667, 16.975, 19.9316666666667, 20.5225, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.1633333333333, 20
20, 20.7366666666667, 25.1, 29.5, 30.945, 5.8, 6.3, 9.2, 11.4633333333333, 12.245, 13.8775, 14.3683333333333, 17.1, 20.0316666666667, 20.665, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9633333333333, 29.1633333333333, 19.9816666666667
20.085, 20.6366666666667, 25.4, 29.6, 30.945, 5.885, 6.43666666666667, 9.25, 12, 12.7, 13.735, 14.3683333333333, 17.25, 20.25, 20.8075, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.2, 20
20.1, 20.7366666666667, 25.4, 29.7, 31, 5.885, 6.5, 9.3, 11.9633333333333, 12.53, 13.75, 14.55, 17.25, 20.25, 21.2575, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.2, 19.9816666666667
20.2, 20.8733333333333, 25.3, 29.7, 30.9, 5.885, 6.6, 9.3, 12, 12.815, 13.92, 14.4366666666667, 17.125, 20.25, 21.3375, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.1633333333333, 19.9316666666667
20.3, 21.2, 25.2, 29.5633333333333, 30.615, 5.885, 6.53666666666667, 9.4, 12.1266666666667, 12.8, 13.92, 14.3183333333333, 17.1, 20.2133333333333, 21.315, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.1633333333333, 19.85
20.47, 21.3733333333333, 25.05, 28.7, 30.13, 5.8, 6.43666666666667, 9.25, 12, 12.8, 13.92, 14.4683333333333, 17.1, 19.7583333333333, 20.8075, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.0633333333333, 19.6816666666667
20.77, 21.6, 25.1, 28.2266666666667, 29.715, 5.8, 6.6, 9.1, 11.9633333333333, 12.615, 14.1425, 14.5, 17.1, 19.1816666666667, 20.33, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 12, 29.0633333333333, 19.7
20.8, 21.9, 25.1, 28.0266666666667, 29.345, 5.77, 6.6, 9.1, 11.9633333333333, 12.615, 14.185, 14.7, 17.15, 19.0316666666667, 20.05, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9633333333333, 28.9633333333333, 19.6
20.885, 21.7366666666667, 25.05, 28.2633333333333, 29.3, 5.885, 6.53666666666667, 9.1, 12.1, 12.6, 14.1925, 14.75, 17.125, 19.145, 20.0575, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9, 28.8, 19.5
20.9, 21.8, 24.85, 28.3, 29.6, 5.8, 6.4, 9, 12.0633333333333, 12.715, 14.1425, 14.75, 17.075, 19.145, 20.1375, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9633333333333, 28.7, 19.5
20.7, 21.6, 24.5, 28.4, 29.63, 5.77, 6.33666666666667, 8.9, 12.1, 12.715, 14.0925, 14.55, 16.9, 19.3, 20.365, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9, 28.6633333333333, 19.45
20.5, 21.2, 24.5, 28.4, 29.8, 5.385, 6, 8.8, 12, 12.6, 13.8, 14.3, 16.8, 19.45, 20.365, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.9, 28.6633333333333, 19.4316666666667
20.4, 20.9, 24.5, 28.4633333333333, 29.7, 5.385, 6, 8.7, 11.9633333333333, 12.515, 13.75, 14.3, 16.75, 19.3, 20.365, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.8633333333333, 28.7, 19.4316666666667
20.17, 20.7366666666667, 24.7, 28.4, 29.845, 5.37, 6, 8.7, 11.7, 12.13, 13.75, 14.3, 16.7, 19.2816666666667, 20.195, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.8, 28.8, 19.45
19.685, 20.6, 24.75, 28.5633333333333, 29.93, 5.4, 6.03666666666667, 8.6, 11.1633333333333, 12.1, 13.3775, 14.1, 16.6, 19.4, 20.1725, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 29.1, 19.4816666666667
19.6, 20.4366666666667, 24.8, 29.3, 31.205, 5.37, 6.1, 8.7, 11.4633333333333, 12.1, 12.935, 13.8183333333333, 16.625, 19.5316666666667, 20.6225, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 29.1, 19.55
19.385, 20.3, 24.6, 29.6633333333333, 31.205, 5.485, 6.13666666666667, 8.9, 11.1, 12.1, 12.935, 13.75, 16.6, 19.7816666666667, 20.9525, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 29.3, 19.65
19.385, 20.2366666666667, 24.5, 29.6633333333333, 31.83, 5.485, 6.2, 8.9, 11.5633333333333, 12.1, 13.035, 13.6, 16.475, 20.1, 21.2725, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 29.3, 19.7
19.6, 20.3, 24.55, 29.6, 30.705, 5.255, 5.83666666666667, 8.85, 11.4633333333333, 12.115, 12.8425, 13.6, 16.6, 19.9633333333333, 20.9525, 1.2, 1.4, 8.4, 38, 52.2, 83.6666666666672, 11.7, 29.3, 19.6816666666667
