"Description: ","Linear trend statistics"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
tx10p,MAM,1979,2020,-0.181084760156357,-0.0286698158045726,0.123765851539258
tx10p,JJA,1979,2020,-0.111140251187458,0.0471938106477839,0.192980155608008
tx10p,SON,1979,2020,-0.185383867523915,-0.0806407902788706,0.0295316461229128
tx90p,annual,1979,2020,-0.0579129078962022,0.0195694716242661,0.0833589353797709
tx90p,monthly,1979,2020,0,0,0.00488758553274684
tx90p,DJF,1979,2020,-0.0018372658026474,0.167216023333254,0.325399096052125
tx90p,MAM,1979,2020,-0.0397936882594633,0.0901302561412711,0.248138957816377
tx90p,JJA,1979,2020,-0.269691406591485,-0.101669379469012,0.0398556771491468
tx90p,SON,1979,2020,-0.18965818690445,-0.0902369825747405,0.02360346184107
tn10p,annual,1979,2020,-0.0556581020559813,0.0146794262548793,0.0906324431161072
tn10p,monthly,1979,2020,0,0,0.00366300366300366
tn10p,DJF,1979,2020,-0.07817112574431,0.0577456025921801,0.202666629200854
tn10p,MAM,1979,2020,-0.0721216889588252,0.0451601802244341,0.157202141281375
tn10p,JJA,1979,2020,-0.14511758020806,-0.00215428421565324,0.15123699624093
tn10p,SON,1979,2020,-0.163442205141654,-0.0458737651892648,0.0885676195471632
tn90p,annual,1979,2020,-0.0706410195217411,0.00519483678822683,0.0841330134612822
tn90p,monthly,1979,2020,0,0,0.00440869258525733
tn90p,DJF,1979,2020,-0.0304799995004558,0.104159216078964,0.234387414587637
tn90p,MAM,1979,2020,-0.126118250429816,0.0240132441646997,0.188702808687073
tn90p,JJA,1979,2020,-0.243987039246043,-0.0986027333391613,0.023865722528193
tn90p,SON,1979,2020,-0.149342891278375,-0.00919993838955287,0.120202814931375
tmge5,annual,1979,2020,-0.235294117647059,-0.0666666666666667,0.111111111111111
tmge5,monthly,1979,2020,0,0,0
tmge5,DJF,1979,2020,0,0,0
tmge5,MAM,1979,2020,0,0,0
tmge5,JJA,1979,2020,-0.0740740740740742,-0.0112233445566778,0.0350877192982457
tmge5,SON,1979,2020,0,0,0
tmlt5,annual,1979,2020,-0.111111111111111,0.0606617647058824,0.230769230769231
tmlt5,monthly,1979,2020,0,0,0
tmlt5,DJF,1979,2020,0,0,0
tmlt5,MAM,1979,2020,0,0,0
tmlt5,JJA,1979,2020,-0.036036036036036,0.0112233445566779,0.0740740740740741
tmlt5,SON,1979,2020,0,0,0
tmge10,annual,1979,2020,-0.375,-0.0467391304347826,0.25
tmge10,monthly,1979,2020,0,0,0
tmge10,DJF,1979,2020,0,0,0
tmge10,MAM,1979,2020,-0.0625,0,0.083333333333333
tmge10,JJA,1979,2020,-0.1,-0.037037037037037,0.0222222222222222
tmge10,SON,1979,2020,-0.0666666666666668,0,0.043010752688172
tmlt10,annual,1979,2020,-0.257142857142857,0.0488095238095238,0.357142857142857
tmlt10,monthly,1979,2020,0,0,0
tmlt10,DJF,1979,2020,0,0,0
tmlt10,MAM,1979,2020,-0.0833333333333333,0,0.0617283950617284
tmlt10,JJA,1979,2020,-0.0238095238095237,0.037037037037037,0.0987654320987653
tmlt10,SON,1979,2020,-0.0434782608695652,0,0.0666666666666667
txge30,annual,1979,2020,0,0.0784615384615385,0.148148148148148
txge30,monthly,1979,2020,0,0,0
txge30,DJF,1979,2020,0,0.0833333333333333,0.161290322580645
txge30,MAM,1979,2020,0,0,0
txge30,JJA,1979,2020,0,0,0
txge30,SON,1979,2020,0,0,0
txge35,annual,1979,2020,0,0,0
txge35,monthly,1979,2020,0,0,0
txge35,DJF,1979,2020,0,0,0
txge35,MAM,1979,2020,0,0,0
txge35,JJA,1979,2020,0,0,0
txge35,SON,1979,2020,0,0,0
tx95t,NA,1979,2020,-0.0163945578231292,-0.00978984343637097,-0.00394736842105263
hddheat18,annual,1979,2020,-2.42586206896551,0.620588235294116,3.38888888888889
cddcold18,annual,1979,2020,0.0349999999999998,0.478759057971014,0.977083333333334
gddgrow10,annual,1979,2020,-2.375,0.0717297297297277,2.47
cdd,annual,1979,2020,0,0.25,0.516129032258065
cwd,annual,1979,2020,-0.111111111111111,-0.05,0
r10mm,annual,1979,2020,-1,-0.75,-0.458333333333333
r10mm,monthly,1979,2020,-0.00476190476190476,-0.00277777777777778,0
r10mm,DJF,1979,2020,-0.117647058823529,-0.0606060606060606,0
r10mm,MAM,1979,2020,-0.4,-0.253571428571429,-0.148148148148148
r10mm,JJA,1979,2020,-0.470588235294118,-0.333333333333333,-0.142857142857143
r10mm,SON,1979,2020,-0.2,-0.0871212121212121,0
r20mm,annual,1979,2020,-0.638888888888889,-0.5,-0.318181818181818
r20mm,monthly,1979,2020,-0.00251256281407035,0,0
r20mm,DJF,1979,2020,-0.0909090909090909,-0.0476190476190476,0
r20mm,MAM,1979,2020,-0.304347826086957,-0.192928039702233,-0.08
r20mm,JJA,1979,2020,-0.263157894736842,-0.179144385026738,-0.05
r20mm,SON,1979,2020,-0.111111111111111,-0.0392307692307692,0
rx1day,annual,1979,2020,-0.58,-0.101351351351351,0.548148148148148
rx1day,monthly,1979,2020,-0.0447058823529412,-0.0281818181818182,-0.011948051948052
rx1day,DJF,1979,2020,-1.13,-0.571493506493506,-0.0705882352941177
rx1day,MAM,1979,2020,-0.717391304347826,-0.0358974358974373,0.5375
rx1day,JJA,1979,2020,-0.363157894736842,0.146428571428571,0.557142857142857
rx1day,SON,1979,2020,-1.95161290322581,-1.25108695652174,-0.427777777777778
rx5day,annual,1979,2020,-1.78857142857143,-0.796428571428567,0.397297297297299
rx5day,monthly,1979,2020,-0.093798449612403,-0.0611990216143363,-0.0306220095693778
rx5day,DJF,1979,2020,-1.49210526315789,-0.804545454545453,-0.00357142857142799
rx5day,MAM,1979,2020,-2.832,-1.3599025974026,0.537500000000003
rx5day,JJA,1979,2020,-1.57272727272727,-0.442873303167419,0.888461538461539
rx5day,SON,1979,2020,-2.14242424242424,-1.26826923076923,-0.499999999999998
prcptot,annual,1979,2020,-29.7354838709677,-22.4984848484848,-15.25
prcptot,monthly,1979,2020,-0.175160599571734,-0.120528168429442,-0.0694444444444444
prcptot,DJF,1979,2020,-4.78,-2.8675,-1.14
prcptot,MAM,1979,2020,-13.6,-8.71422222222222,-3.7578947368421
prcptot,JJA,1979,2020,-11.9391304347826,-6.67833333333333,-2.11666666666666
prcptot,SON,1979,2020,-7.57,-4.70320512820513,-2.03888888888889
sdii,annual,1979,2020,-0.200028636884307,-0.125228306017854,-0.0363032800428594
r95p,annual,1979,2020,-7.525,-2.93258333333333,0.0599999999999994
r99p,annual,1979,2020,-1.27142857142857,0,0.0799999999999997
r95ptot,annual,1979,2020,-0.150743643542853,0.089467735846488,0.300538934034321
r99ptot,annual,1979,2020,-0.0183065750406389,0,0.0904646376704556
rx3day,annual,1979,2020,-0.800000000000002,0.0842105263157914,1
rx3day,monthly,1979,2020,-0.0741071428571427,-0.0472222222222221,-0.0223333333333332
rx3day,DJF,1979,2020,-0.891176470588234,-0.52051820728291,-0.0877777777777763
rx3day,MAM,1979,2020,-1.38505747126437,-0.701073232323231,-0.00476190476190449
rx3day,JJA,1979,2020,-0.549999999999999,-0.083730158730155,0.353968253968255
rx3day,SON,1979,2020,-1.40537634408602,-0.908333333333331,-0.419999999999996
r30mm,annual,1979,2020,-0.392857142857143,-0.291666666666667,-0.181818181818182
r30mm,monthly,1979,2020,0,0,0
r30mm,DJF,1979,2020,-0.0175438596491228,0,0
r30mm,MAM,1979,2020,-0.0666666666666667,-0.0444444444444444,-0.0175438596491228
r30mm,JJA,1979,2020,-0.0427350427350427,-0.0185185185185185,0
r30mm,SON,1979,2020,-0.0303030303030303,-0.0166666666666667,0
tx2tn2,annual,1979,2020,0,0,0
txb2tnb2,annual,1979,2020,0,0,0
spei3,FEB,1979,2020,-0.0684398952084639,-0.0397217396323919,-0.0165143636127771
spei3,MAY,1979,2020,-0.0705007536867857,-0.0466108584530446,-0.0200340123673623
spei3,AUG,1979,2020,-0.0626013009343991,-0.0346264303782256,-0.01050410699106
spei3,NOV,1979,2020,-0.0582789361174639,-0.0320298119523891,-0.00991175044476097
spei6,APR,1979,2020,-0.0732706171278898,-0.05470206779058,-0.028704464821802
spei6,OCT,1979,2020,-0.0742500675621708,-0.0513843612322991,-0.0304746269746034
spei12,JUN,1979,2020,-0.0820574791447172,-0.0591851561383481,-0.0400372991795472
spei12,DEC,1979,2020,-0.0778911810466073,-0.0582281557256194,-0.0385309209633493
spi3,FEB,1979,2020,-0.0706880923607018,-0.0429040267307249,-0.0176729299698256
spi3,MAY,1979,2020,-0.0674755621451393,-0.0456818570503095,-0.0196488542915199
spi3,AUG,1979,2020,-0.060880409614604,-0.0338913871062458,-0.0105985439337176
spi3,NOV,1979,2020,-0.0580364200990161,-0.0382351176453099,-0.017366898565122
spi6,APR,1979,2020,-0.0742426942179521,-0.0534781081083562,-0.0296698956390864
spi6,OCT,1979,2020,-0.0768205706796289,-0.049732904595493,-0.0314001746869497
spi12,JUN,1979,2020,-0.0801080753510213,-0.0586269714866768,-0.0378756468919536
spi12,DEC,1979,2020,-0.0764738131446761,-0.0569946974371198,-0.0377700484584401
tmm,annual,1979,2020,-0.00843128590366768,0.000955479452054734,0.00804531085353001
tmm,monthly,1979,2020,-0.00201322951783008,0.000134760457129977,0.0023019781662973
tmm,DJF,1979,2020,-0.00515822569294682,0.0101858283636034,0.0246695367450886
tmm,MAM,1979,2020,-0.0146468040621266,0.000122988263405745,0.015167807103291
tmm,JJA,1979,2020,-0.0197293906810037,-0.00677749222104062,0.00727956989247307
tmm,SON,1979,2020,-0.0148070030328095,-0.00487044828840055,0.00455555555555556
txm,annual,1979,2020,-0.0100684931506851,-0.00047755588873776,0.00931506849315067
txm,monthly,1979,2020,-0.00257616487455197,0.000238948626045401,0.00322239289981226
txm,DJF,1979,2020,-0.0059736888991617,0.0160324743542207,0.0394092700193682
txm,MAM,1979,2020,-0.0155748552522747,0.00466951296647689,0.0228243727598567
txm,JJA,1979,2020,-0.0222060353798127,-0.00677476995954637,0.00333154121863801
txm,SON,1979,2020,-0.0235315860215054,-0.00907586618876941,0.00603154121863795
tnm,annual,1979,2020,-0.00731998595012292,-0.000567850070432595,0.00800000000000001
tnm,monthly,1979,2020,-0.00142741935483871,6.63245196833462e-05,0.00153089972430725
tnm,DJF,1979,2020,-0.00749701314217432,0.00510926492398965,0.0160886086183201
tnm,MAM,1979,2020,-0.0182649071358749,-0.00620430107526882,0.0103768871510807
tnm,JJA,1979,2020,-0.0186021505376344,-0.00120469259582162,0.0160678895214
tnm,SON,1979,2020,-0.0105403915081335,0.000957668611052526,0.0115924219150025
TNgt0,annual,1979,2020,-0.173913043478261,0,0.157894736842105
TNgt0,monthly,1979,2020,0,0,0
TNgt0,DJF,1979,2020,0,0,0
TNgt0,MAM,1979,2020,-0.0101010101010102,0,0
TNgt0,JJA,1979,2020,-0.0416666666666667,0,0.0555555555555554
TNgt0,SON,1979,2020,0,0,0.0144927536231884
