tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
20.37, 21.3733333333333, 24.95, 28.7266666666667, 30.015, 6.5, 6.93666666666667, 9.9, 12.4633333333333, 13.23, 14.1925, 14.75, 17.3, 19.7316666666667, 21.015, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.5, 28.8633333333333, 19.895
20.7, 21.5, 24.95, 28.2533333333333, 29.5, 6.5, 7.2, 9.7, 12.5633333333333, 13.1, 14.4925, 14.8, 17.3, 19.4316666666667, 20.48, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.5, 28.8633333333333, 19.8
20.785, 21.8366666666667, 25, 27.9633333333333, 29.33, 6.5, 7.2, 9.75, 12.5633333333333, 13.1, 14.4925, 14.9866666666667, 17.35, 19.2, 20.2575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.8, 19.75
20.7, 21.8, 24.9, 28.2633333333333, 29.215, 6.5, 7.2, 9.65, 12.6, 13.1, 14.4925, 15, 17.35, 19.3633333333333, 20.3075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.7633333333333, 19.7
20.7, 21.8, 24.7, 28.3, 29.415, 6.5, 7.03666666666667, 9.55, 12.6, 13.23, 14.4425, 15, 17.275, 19.3633333333333, 20.395, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.6, 19.7
20.7, 21.6366666666667, 24.45, 28.4, 29.515, 6.485, 6.93666666666667, 9.5, 12.6, 13.23, 14.3925, 14.8183333333333, 17.2, 19.4816666666667, 20.6575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.6, 19.7
20.4, 21.1, 24.45, 28.4, 29.615, 6.085, 6.7, 9.3, 12.5633333333333, 13.115, 14.1, 14.65, 17.1, 19.6816666666667, 20.6575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.6, 19.7
20.285, 20.7733333333333, 24.5, 28.5, 29.5, 5.985, 6.57333333333333, 9.2, 12.5, 13.13, 13.97, 14.6, 17.075, 19.6133333333333, 20.6575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.6, 19.7
20.1, 20.7, 24.55, 28.4633333333333, 29.615, 5.885, 6.5, 9.2, 12.2, 12.715, 13.97, 14.6183333333333, 17, 19.645, 20.4025, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.3633333333333, 28.6, 19.6816666666667
19.7, 20.6366666666667, 24.6, 28.5, 29.615, 6.14, 6.83666666666667, 9.2, 11.7, 12.6, 13.635, 14.4683333333333, 16.85, 19.7, 20.4025, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 28.8633333333333, 19.7
19.585, 20.3366666666667, 24.75, 28.9, 31.005, 5.785, 6.9, 9.3, 11.8633333333333, 12.6, 13.25, 14.1183333333333, 16.85, 19.7316666666667, 20.78, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 28.9, 19.7
19.385, 20.3, 24.45, 29.5, 31.005, 6.255, 6.9, 9.45, 11.8, 12.6, 13.25, 13.9, 16.85, 19.9, 21.025, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 29, 19.75
