Variable,Valor
Slope,-2.45
YInt,5762.0
Sigma,119.3
Corr,-0.3828
PValue,0.25
FStat,2.403
R2,0.1465
Year,Sfld1 peak
1930,1189.0
1933,1003.0
1960,803.0
1961,943.0
1965,952.5
1966,818.0
1969,822.0
1971,858.0
1972,896.0
1976,920.0
1977,869.0
1978,1197.0
1979,894.0
1980,917.0
1982,1082.0
2015,810.0
Mediana,906.5
Coef. Disper.,0.1758
