Variable,Valor
Slope,-0.01282
YInt,32.57
Sigma,8.915
Corr,-0.0303
PValue,0.5
FStat,0.06433
R2,0.0009182
Year,Hi pulse L
1948,9.0
1949,4.0
1950,3.0
1951,10.0
1952,6.0
1953,16.0
1954,14.0
1955,8.0
1956,7.0
1957,12.0
1958,6.0
1959,5.0
1960,3.0
1961,50.0
1962,2.0
1963,10.0
1964,1.0
1965,7.0
1966,5.0
1967,18.5
1968,2.0
1969,2.0
1970,6.0
1971,17.0
1972,12.0
1973,6.0
1974,2.5
1975,3.0
1976,3.0
1977,5.0
1978,6.0
1979,3.5
1980,1.0
1981,8.0
1982,3.0
1983,2.0
1984,11.5
1985,1.0
1986,5.0
1987,2.0
1988,1.0
1989,5.5
1990,3.0
1991,2.0
1992,3.0
1993,6.5
1994,3.0
1995,3.0
1996,2.5
1997,5.5
1998,1.0
1999,2.0
2000,2.0
2001,9.0
2002,9.5
2003,4.0
2004,2.0
2005,4.0
2006,2.5
2007,26.5
2008,6.5
2009,4.0
2010,6.0
2011,4.0
2012,3.0
2013,8.0
2014,2.5
2015,44.0
2016,1.5
2017,33.5
2018,3.0
2019,2.0
Mediana,4.0
Coef. Disper.,1.375
