Variable,Valor
Slope,-4.042
YInt,8472.0
Sigma,188.9
Corr,-0.4908
PValue,0.005
FStat,11.43
R2,0.2409
Year,July
1929,292.0
1930,758.0
1931,472.0
1932,806.0
1933,585.0
1934,780.0
1935,1107.0
1959,637.0
1960,387.0
1961,649.0
1962,256.0
1963,452.0
1964,294.0
1965,562.0
1966,699.0
1967,445.0
1968,297.0
1969,491.0
1970,471.0
1971,627.0
1972,659.8
1973,468.5
1974,514.0
1975,606.0
1976,514.0
1977,633.0
1978,719.0
1979,202.0
1980,608.0
1981,514.0
1982,780.0
1983,95.9
2015,344.2
2016,140.0
2017,339.0
2018,496.0
2019,377.0
2020,137.2
Mediana,505.0
Coef. Disper.,0.5883
