Variable,Valor
Slope,0.7063
YInt,-1055.0
Sigma,23.27
Corr,0.3865
PValue,0.5
FStat,0.5269
R2,0.1494
Year,Lfld1 peak
1978,354.0
1993,333.0
2002,357.0
2004,341.0
2008,390.0
Mediana,354.0
Coef. Disper.,0.1031
