Variable,Valor
Slope,0.1614
YInt,-248.9
Sigma,7.281
Corr,0.4323
PValue,0.5
FStat,1.149
R2,0.1869
Year,Lfld1 peak
1951,67.3
1971,72.0
1978,65.9
1993,65.5
2000,81.7
2002,82.3
2004,67.0
Mediana,67.3
Coef. Disper.,0.2348
