Variable,Valor
Slope,-87.21
YInt,170000.0
Sigma,6.147
Corr,-0.9995
PValue,0.001
FStat,939.3
R2,0.9989
Year,Lfld1 peak
1932,1483.0
1934,1302.0
1935,1223.0
Mediana,1302.0
Coef. Disper.,0.1997
